cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,scope,y_true,y_pred,prob_irrigado,predicao_label,acertou
EMB48,IRR,2017-02-23,dia2,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,0,0.13112357731555296,NIRR,False
EMB48,IRR,2017-02-23,dia2,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.5977645170439013,IRR,True
EMB48,IRR,2017-02-23,dia2,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9956317956538049,IRR,True
EMB48,IRR,2017-02-23,dia2,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,0,0.04587750448446617,NIRR,False
EMB48,NIRR,2017-02-23,dia2,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0010832055690566886,NIRR,True
EMB48,NIRR,2017-02-23,dia2,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.2549532232188893,NIRR,True
EMB48,NIRR,2017-02-23,dia2,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0001066373407442993,NIRR,True
EMB48,NIRR,2017-02-23,dia2,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0009010297275115928,NIRR,True
EMB48,IRR,2017-02-24,dia3,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9778938658104648,IRR,True
EMB48,IRR,2017-02-24,dia3,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9969697659846537,IRR,True
EMB48,IRR,2017-02-24,dia3,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9986509949497082,IRR,True
EMB48,IRR,2017-02-24,dia3,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9345284948365159,IRR,True
EMB48,NIRR,2017-02-24,dia3,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0001585978651490216,NIRR,True
EMB48,NIRR,2017-02-24,dia3,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.1247928128996441,NIRR,True
EMB48,NIRR,2017-02-24,dia3,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,3.942022372797732e-06,NIRR,True
EMB48,NIRR,2017-02-24,dia3,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0009283504364712589,NIRR,True
EMB48,IRR,2017-02-25,dia4,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999961355469709,IRR,True
EMB48,IRR,2017-02-25,dia4,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9998209536980069,IRR,True
EMB48,IRR,2017-02-25,dia4,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999995043868504,IRR,True
EMB48,IRR,2017-02-25,dia4,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9994339027993748,IRR,True
EMB48,NIRR,2017-02-25,dia4,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.003867177031427862,NIRR,True
EMB48,NIRR,2017-02-25,dia4,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,1,0.7885685251883892,IRR,False
EMB48,NIRR,2017-02-25,dia4,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.002065554970638312,NIRR,True
EMB48,NIRR,2017-02-25,dia4,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0037234671110896998,NIRR,True
EMB48,IRR,2017-02-26,dia5,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.998836854340246,IRR,True
EMB48,IRR,2017-02-26,dia5,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.998756929997912,IRR,True
EMB48,IRR,2017-02-26,dia5,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999985656853239,IRR,True
EMB48,IRR,2017-02-26,dia5,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999991525210915,IRR,True
EMB48,NIRR,2017-02-26,dia5,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0002475990873485986,NIRR,True
EMB48,NIRR,2017-02-26,dia5,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.005748916067323192,NIRR,True
EMB48,NIRR,2017-02-26,dia5,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,3.932517928697337e-05,NIRR,True
EMB48,NIRR,2017-02-26,dia5,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.00038788202655256395,NIRR,True
EMB48,IRR,2017-02-27,dia6,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999998537670475,IRR,True
EMB48,IRR,2017-02-27,dia6,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9988474099406651,IRR,True
EMB48,IRR,2017-02-27,dia6,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.999999964329587,IRR,True
EMB48,IRR,2017-02-27,dia6,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.993230813161449,IRR,True
EMB48,NIRR,2017-02-27,dia6,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0006383013507279044,NIRR,True
EMB48,NIRR,2017-02-27,dia6,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.013907719868106799,NIRR,True
EMB48,NIRR,2017-02-27,dia6,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,1.2492514631228164e-05,NIRR,True
EMB48,NIRR,2017-02-27,dia6,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,3.819862612911176e-07,NIRR,True
EMB48,IRR,2017-03-02,dia9,1,B1,EMB48_IRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.995559367598047,IRR,True
EMB48,IRR,2017-03-02,dia9,2,B2,EMB48_IRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9254545671615682,IRR,True
EMB48,IRR,2017-03-02,dia9,3,B3,EMB48_IRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9999789107155794,IRR,True
EMB48,IRR,2017-03-02,dia9,4,B4,EMB48_IRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,1,1,0.9668662348144926,IRR,True
EMB48,NIRR,2017-03-02,dia9,1,B1,EMB48_NIRR_B1,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.047635754892650116,NIRR,True
EMB48,NIRR,2017-03-02,dia9,2,B2,EMB48_NIRR_B2,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.15352727172476865,NIRR,True
EMB48,NIRR,2017-03-02,dia9,3,B3,EMB48_NIRR_B3,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0008336556314560211,NIRR,True
EMB48,NIRR,2017-03-02,dia9,4,B4,EMB48_NIRR_B4,genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,0,0,0.0020089417586802204,NIRR,True
