cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,scope,y_true,y_pred,prob_irrigado,predicao_label,acertou
BR16,IRR,2017-02-23,dia2,1,B1,BR16_IRR_B1,global,Classificacao binaria IRR vs NIRR,global,1,0,0.49765431345434225,NIRR,False
BR16,IRR,2017-02-23,dia2,2,B2,BR16_IRR_B2,global,Classificacao binaria IRR vs NIRR,global,1,0,0.2752023206202034,NIRR,False
BR16,IRR,2017-02-23,dia2,3,B3,BR16_IRR_B3,global,Classificacao binaria IRR vs NIRR,global,1,0,0.2659652749885163,NIRR,False
BR16,IRR,2017-02-23,dia2,4,B4,BR16_IRR_B4,global,Classificacao binaria IRR vs NIRR,global,1,0,0.24366777768721767,NIRR,False
BR16,NIRR,2017-02-23,dia2,1,B1,BR16_NIRR_B1,global,Classificacao binaria IRR vs NIRR,global,0,0,0.3239139283031095,NIRR,True
BR16,NIRR,2017-02-23,dia2,2,B2,BR16_NIRR_B2,global,Classificacao binaria IRR vs NIRR,global,0,0,0.13148900164051244,NIRR,True
BR16,NIRR,2017-02-23,dia2,3,B3,BR16_NIRR_B3,global,Classificacao binaria IRR vs NIRR,global,0,0,0.044682498905746916,NIRR,True
BR16,NIRR,2017-02-23,dia2,4,B4,BR16_NIRR_B4,global,Classificacao binaria IRR vs NIRR,global,0,0,0.13879532240661827,NIRR,True
CD202,IRR,2017-02-23,dia2,1,B1,CD202_IRR_B1,global,Classificacao binaria IRR vs NIRR,global,1,0,0.08348455542908773,NIRR,False
CD202,IRR,2017-02-23,dia2,2,B2,CD202_IRR_B2,global,Classificacao binaria IRR vs NIRR,global,1,0,0.4274942792462704,NIRR,False
CD202,IRR,2017-02-23,dia2,3,B3,CD202_IRR_B3,global,Classificacao binaria IRR vs NIRR,global,1,0,0.07254880868660994,NIRR,False
CD202,IRR,2017-02-23,dia2,4,B4,CD202_IRR_B4,global,Classificacao binaria IRR vs NIRR,global,1,1,0.760501651673135,IRR,True
