cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-26,dia5,1,B1,BR16_IRR_B1,dia5,dia5,XGBoost,1,1,0.8782244,True
BR16,IRR,2017-02-26,dia5,2,B2,BR16_IRR_B2,dia5,dia5,XGBoost,1,1,0.70987314,True
BR16,IRR,2017-02-26,dia5,3,B3,BR16_IRR_B3,dia5,dia5,XGBoost,1,0,0.19400534,False
BR16,IRR,2017-02-26,dia5,4,B4,BR16_IRR_B4,dia5,dia5,XGBoost,1,1,0.90797544,True
BR16,NIRR,2017-02-26,dia5,1,B1,BR16_NIRR_B1,dia5,dia5,XGBoost,0,0,0.117251545,True
BR16,NIRR,2017-02-26,dia5,2,B2,BR16_NIRR_B2,dia5,dia5,XGBoost,0,0,0.111775614,True
BR16,NIRR,2017-02-26,dia5,3,B3,BR16_NIRR_B3,dia5,dia5,XGBoost,0,0,0.18565339,True
BR16,NIRR,2017-02-26,dia5,4,B4,BR16_NIRR_B4,dia5,dia5,XGBoost,0,0,0.119477525,True
CD202,IRR,2017-02-26,dia5,1,B1,CD202_IRR_B1,dia5,dia5,XGBoost,1,1,0.8837991,True
CD202,IRR,2017-02-26,dia5,2,B2,CD202_IRR_B2,dia5,dia5,XGBoost,1,1,0.88692933,True
CD202,IRR,2017-02-26,dia5,3,B3,CD202_IRR_B3,dia5,dia5,XGBoost,1,1,0.8837991,True
CD202,IRR,2017-02-26,dia5,4,B4,CD202_IRR_B4,dia5,dia5,XGBoost,1,1,0.9030667,True
CD202,NIRR,2017-02-26,dia5,1,B1,CD202_NIRR_B1,dia5,dia5,XGBoost,0,1,0.8291761,False
CD202,NIRR,2017-02-26,dia5,2,B2,CD202_NIRR_B2,dia5,dia5,XGBoost,0,0,0.1250762,True
CD202,NIRR,2017-02-26,dia5,3,B3,CD202_NIRR_B3,dia5,dia5,XGBoost,0,0,0.12714696,True
CD202,NIRR,2017-02-26,dia5,4,B4,CD202_NIRR_B4,dia5,dia5,XGBoost,0,0,0.11415445,True
EMB48,IRR,2017-02-26,dia5,1,B1,EMB48_IRR_B1,dia5,dia5,XGBoost,1,1,0.8877993,True
EMB48,IRR,2017-02-26,dia5,2,B2,EMB48_IRR_B2,dia5,dia5,XGBoost,1,1,0.772125,True
EMB48,IRR,2017-02-26,dia5,3,B3,EMB48_IRR_B3,dia5,dia5,XGBoost,1,1,0.9061013,True
EMB48,IRR,2017-02-26,dia5,4,B4,EMB48_IRR_B4,dia5,dia5,XGBoost,1,1,0.8782244,True
EMB48,NIRR,2017-02-26,dia5,1,B1,EMB48_NIRR_B1,dia5,dia5,XGBoost,0,0,0.12714696,True
EMB48,NIRR,2017-02-26,dia5,2,B2,EMB48_NIRR_B2,dia5,dia5,XGBoost,0,0,0.119477525,True
EMB48,NIRR,2017-02-26,dia5,3,B3,EMB48_NIRR_B3,dia5,dia5,XGBoost,0,0,0.118238375,True
EMB48,NIRR,2017-02-26,dia5,4,B4,EMB48_NIRR_B4,dia5,dia5,XGBoost,0,0,0.11415445,True
