cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-27,dia6,1,B1,BR16_IRR_B1,dia6,dia6,LDA,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,2,B2,BR16_IRR_B2,dia6,dia6,LDA,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,3,B3,BR16_IRR_B3,dia6,dia6,LDA,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,4,B4,BR16_IRR_B4,dia6,dia6,LDA,1,1,1.0,True
BR16,NIRR,2017-02-27,dia6,1,B1,BR16_NIRR_B1,dia6,dia6,LDA,0,0,7.24786353579525e-29,True
BR16,NIRR,2017-02-27,dia6,2,B2,BR16_NIRR_B2,dia6,dia6,LDA,0,0,9.874987670631003e-25,True
BR16,NIRR,2017-02-27,dia6,3,B3,BR16_NIRR_B3,dia6,dia6,LDA,0,0,1.2711948501750303e-29,True
BR16,NIRR,2017-02-27,dia6,4,B4,BR16_NIRR_B4,dia6,dia6,LDA,0,0,6.391915205161893e-41,True
CD202,IRR,2017-02-27,dia6,1,B1,CD202_IRR_B1,dia6,dia6,LDA,1,1,1.0,True
CD202,IRR,2017-02-27,dia6,2,B2,CD202_IRR_B2,dia6,dia6,LDA,1,1,1.0,True
CD202,IRR,2017-02-27,dia6,3,B3,CD202_IRR_B3,dia6,dia6,LDA,1,1,1.0,True
CD202,IRR,2017-02-27,dia6,4,B4,CD202_IRR_B4,dia6,dia6,LDA,1,1,1.0,True
CD202,NIRR,2017-02-27,dia6,1,B1,CD202_NIRR_B1,dia6,dia6,LDA,0,0,2.5580322928365347e-22,True
CD202,NIRR,2017-02-27,dia6,2,B2,CD202_NIRR_B2,dia6,dia6,LDA,0,0,5.906996776115106e-34,True
CD202,NIRR,2017-02-27,dia6,3,B3,CD202_NIRR_B3,dia6,dia6,LDA,0,0,5.583139972685354e-43,True
CD202,NIRR,2017-02-27,dia6,4,B4,CD202_NIRR_B4,dia6,dia6,LDA,0,0,6.965938161710756e-36,True
EMB48,IRR,2017-02-27,dia6,1,B1,EMB48_IRR_B1,dia6,dia6,LDA,1,1,1.0,True
EMB48,IRR,2017-02-27,dia6,2,B2,EMB48_IRR_B2,dia6,dia6,LDA,1,1,1.0,True
EMB48,IRR,2017-02-27,dia6,3,B3,EMB48_IRR_B3,dia6,dia6,LDA,1,1,1.0,True
EMB48,IRR,2017-02-27,dia6,4,B4,EMB48_IRR_B4,dia6,dia6,LDA,1,1,1.0,True
EMB48,NIRR,2017-02-27,dia6,1,B1,EMB48_NIRR_B1,dia6,dia6,LDA,0,0,5.032755722313107e-43,True
EMB48,NIRR,2017-02-27,dia6,2,B2,EMB48_NIRR_B2,dia6,dia6,LDA,0,0,6.22595436381301e-28,True
EMB48,NIRR,2017-02-27,dia6,3,B3,EMB48_NIRR_B3,dia6,dia6,LDA,0,0,1.5054199746300132e-30,True
EMB48,NIRR,2017-02-27,dia6,4,B4,EMB48_NIRR_B4,dia6,dia6,LDA,0,0,4.6591095357445314e-49,True
