cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-27,dia6,1,B1,BR16_IRR_B1,dia6,dia6,Random Forest,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,2,B2,BR16_IRR_B2,dia6,dia6,Random Forest,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,3,B3,BR16_IRR_B3,dia6,dia6,Random Forest,1,1,1.0,True
BR16,IRR,2017-02-27,dia6,4,B4,BR16_IRR_B4,dia6,dia6,Random Forest,1,1,0.9986666666666667,True
BR16,NIRR,2017-02-27,dia6,1,B1,BR16_NIRR_B1,dia6,dia6,Random Forest,0,0,0.0,True
BR16,NIRR,2017-02-27,dia6,2,B2,BR16_NIRR_B2,dia6,dia6,Random Forest,0,0,0.0,True
BR16,NIRR,2017-02-27,dia6,3,B3,BR16_NIRR_B3,dia6,dia6,Random Forest,0,0,0.0,True
BR16,NIRR,2017-02-27,dia6,4,B4,BR16_NIRR_B4,dia6,dia6,Random Forest,0,0,0.0,True
CD202,IRR,2017-02-27,dia6,1,B1,CD202_IRR_B1,dia6,dia6,Random Forest,1,1,0.9986666666666667,True
CD202,IRR,2017-02-27,dia6,2,B2,CD202_IRR_B2,dia6,dia6,Random Forest,1,1,0.9986666666666667,True
CD202,IRR,2017-02-27,dia6,3,B3,CD202_IRR_B3,dia6,dia6,Random Forest,1,1,0.9986666666666667,True
CD202,IRR,2017-02-27,dia6,4,B4,CD202_IRR_B4,dia6,dia6,Random Forest,1,1,1.0,True
CD202,NIRR,2017-02-27,dia6,1,B1,CD202_NIRR_B1,dia6,dia6,Random Forest,0,0,0.004,True
CD202,NIRR,2017-02-27,dia6,2,B2,CD202_NIRR_B2,dia6,dia6,Random Forest,0,0,0.0,True
CD202,NIRR,2017-02-27,dia6,3,B3,CD202_NIRR_B3,dia6,dia6,Random Forest,0,0,0.0,True
CD202,NIRR,2017-02-27,dia6,4,B4,CD202_NIRR_B4,dia6,dia6,Random Forest,0,0,0.0,True
EMB48,IRR,2017-02-27,dia6,1,B1,EMB48_IRR_B1,dia6,dia6,Random Forest,1,1,1.0,True
EMB48,IRR,2017-02-27,dia6,2,B2,EMB48_IRR_B2,dia6,dia6,Random Forest,1,1,0.984,True
EMB48,IRR,2017-02-27,dia6,3,B3,EMB48_IRR_B3,dia6,dia6,Random Forest,1,1,0.9986666666666667,True
EMB48,IRR,2017-02-27,dia6,4,B4,EMB48_IRR_B4,dia6,dia6,Random Forest,1,1,0.7933333333333333,True
EMB48,NIRR,2017-02-27,dia6,1,B1,EMB48_NIRR_B1,dia6,dia6,Random Forest,0,0,0.0,True
EMB48,NIRR,2017-02-27,dia6,2,B2,EMB48_NIRR_B2,dia6,dia6,Random Forest,0,0,0.0,True
EMB48,NIRR,2017-02-27,dia6,3,B3,EMB48_NIRR_B3,dia6,dia6,Random Forest,0,0,0.0,True
EMB48,NIRR,2017-02-27,dia6,4,B4,EMB48_NIRR_B4,dia6,dia6,Random Forest,0,0,0.0,True
