cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-27,dia6,1,B1,BR16_IRR_B1,dia6,dia6,SVM (RBF),1,1,0.9062537857580433,True
BR16,IRR,2017-02-27,dia6,2,B2,BR16_IRR_B2,dia6,dia6,SVM (RBF),1,1,0.91120423137968,True
BR16,IRR,2017-02-27,dia6,3,B3,BR16_IRR_B3,dia6,dia6,SVM (RBF),1,1,0.9177519515849578,True
BR16,IRR,2017-02-27,dia6,4,B4,BR16_IRR_B4,dia6,dia6,SVM (RBF),1,1,0.9539902849709382,True
BR16,NIRR,2017-02-27,dia6,1,B1,BR16_NIRR_B1,dia6,dia6,SVM (RBF),0,0,0.06710423033368546,True
BR16,NIRR,2017-02-27,dia6,2,B2,BR16_NIRR_B2,dia6,dia6,SVM (RBF),0,0,0.1294283512539412,True
BR16,NIRR,2017-02-27,dia6,3,B3,BR16_NIRR_B3,dia6,dia6,SVM (RBF),0,0,0.06897843304788982,True
BR16,NIRR,2017-02-27,dia6,4,B4,BR16_NIRR_B4,dia6,dia6,SVM (RBF),0,0,0.16117781677997017,True
CD202,IRR,2017-02-27,dia6,1,B1,CD202_IRR_B1,dia6,dia6,SVM (RBF),1,1,0.9255984603939965,True
CD202,IRR,2017-02-27,dia6,2,B2,CD202_IRR_B2,dia6,dia6,SVM (RBF),1,1,0.9542430852912384,True
CD202,IRR,2017-02-27,dia6,3,B3,CD202_IRR_B3,dia6,dia6,SVM (RBF),1,1,0.8842993966109446,True
CD202,IRR,2017-02-27,dia6,4,B4,CD202_IRR_B4,dia6,dia6,SVM (RBF),1,1,0.9118415096439215,True
CD202,NIRR,2017-02-27,dia6,1,B1,CD202_NIRR_B1,dia6,dia6,SVM (RBF),0,0,0.08370870753485157,True
CD202,NIRR,2017-02-27,dia6,2,B2,CD202_NIRR_B2,dia6,dia6,SVM (RBF),0,0,0.06389851250109665,True
CD202,NIRR,2017-02-27,dia6,3,B3,CD202_NIRR_B3,dia6,dia6,SVM (RBF),0,0,0.05556008634289378,True
CD202,NIRR,2017-02-27,dia6,4,B4,CD202_NIRR_B4,dia6,dia6,SVM (RBF),0,0,0.04732563218537498,True
EMB48,IRR,2017-02-27,dia6,1,B1,EMB48_IRR_B1,dia6,dia6,SVM (RBF),1,1,0.9345996556431742,True
EMB48,IRR,2017-02-27,dia6,2,B2,EMB48_IRR_B2,dia6,dia6,SVM (RBF),1,1,0.9197941919392276,True
EMB48,IRR,2017-02-27,dia6,3,B3,EMB48_IRR_B3,dia6,dia6,SVM (RBF),1,1,0.8935045700050216,True
EMB48,IRR,2017-02-27,dia6,4,B4,EMB48_IRR_B4,dia6,dia6,SVM (RBF),1,1,0.7939314554870337,True
EMB48,NIRR,2017-02-27,dia6,1,B1,EMB48_NIRR_B1,dia6,dia6,SVM (RBF),0,0,0.14303144537492188,True
EMB48,NIRR,2017-02-27,dia6,2,B2,EMB48_NIRR_B2,dia6,dia6,SVM (RBF),0,0,0.06648490054783308,True
EMB48,NIRR,2017-02-27,dia6,3,B3,EMB48_NIRR_B3,dia6,dia6,SVM (RBF),0,0,0.05979831151445467,True
EMB48,NIRR,2017-02-27,dia6,4,B4,EMB48_NIRR_B4,dia6,dia6,SVM (RBF),0,0,0.11550537713455422,True
