dia,cultivar,n_amostras,n_grupos,accuracy_media_LDA,accuracy_media_Random Forest,accuracy_media_SVM (RBF),accuracy_media_XGBoost,accuracy_media_k-NN (k=5),balanced_accuracy_media_LDA,balanced_accuracy_media_Random Forest,balanced_accuracy_media_SVM (RBF),balanced_accuracy_media_XGBoost,balanced_accuracy_media_k-NN (k=5),f1_macro_media_LDA,f1_macro_media_Random Forest,f1_macro_media_SVM (RBF),f1_macro_media_XGBoost,f1_macro_media_k-NN (k=5),kappa_media_LDA,kappa_media_Random Forest,kappa_media_SVM (RBF),kappa_media_XGBoost,kappa_media_k-NN (k=5),roc_auc_media_LDA,roc_auc_media_Random Forest,roc_auc_media_SVM (RBF),roc_auc_media_XGBoost,roc_auc_media_k-NN (k=5)
dia2,BR16,8,8,0.5,0.625,0.625,0.5,0.5,0.5,0.625,0.625,0.5,0.5,0.3333333333333333,0.49999999999999994,0.49999999999999994,0.3333333333333333,0.41666666666666663,0.0,0.25,0.25,0.0,0.0,0.75,0.25,0.75,0.5,0.5
dia2,CD202,8,8,0.875,0.625,0.75,0.5,0.75,0.875,0.625,0.75,0.5,0.75,0.8333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.75
dia2,EMB48,8,8,0.625,0.875,0.75,0.5,0.875,0.625,0.875,0.75,0.5,0.875,0.49999999999999994,0.8333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333333,0.25,0.75,0.5,0.0,0.75,1.0,1.0,0.75,0.5,0.875
dia3,BR16,8,8,1.0,0.875,0.875,0.5,0.875,1.0,0.875,0.875,0.5,0.875,1.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,1.0,0.75,0.75,0.0,0.75,1.0,1.0,1.0,0.5,0.875
dia3,CD202,8,8,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.5,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.0,0.75,1.0,1.0,0.75,0.5,0.875
dia3,EMB48,8,8,0.875,1.0,1.0,0.5,1.0,0.875,1.0,1.0,0.5,1.0,0.8333333333333333,1.0,1.0,0.3333333333333333,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia4,BR16,8,8,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.5,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333333,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.0,0.75,1.0,1.0,1.0,0.5,0.875
dia4,CD202,8,8,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0,0.3333333333333333,0.8333333333333333,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.5,0.875
dia4,EMB48,8,8,1.0,1.0,0.875,0.5,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia5,BR16,8,8,0.875,1.0,1.0,0.5,1.0,0.875,1.0,1.0,0.5,1.0,0.8333333333333333,1.0,1.0,0.3333333333333333,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia5,CD202,8,8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia5,EMB48,8,8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia6,BR16,8,8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia6,CD202,8,8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia6,EMB48,8,8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
dia9,BR16,8,8,0.875,0.875,0.875,0.5,0.625,0.875,0.875,0.875,0.5,0.625,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5833333333333333,0.75,0.75,0.75,0.0,0.25,0.75,0.75,0.75,0.5,0.625
dia9,CD202,8,8,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.5,0.875
dia9,EMB48,8,8,1.0,1.0,0.875,0.5,0.625,1.0,1.0,0.875,0.5,0.625,1.0,1.0,0.8333333333333333,0.3333333333333333,0.5833333333333333,1.0,1.0,0.75,0.0,0.25,1.0,1.0,1.0,0.5,0.625
