cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.3986246531303482,0.6013753468696518
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.5377775637249349,0.46222243627506504
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7172841653339408,0.2827158346660592
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.711398736247344,0.28860126375265605
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9116960725680112,0.08830392743198873
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.6057994745644607,0.3942005254355393
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9624219278731282,0.03757807212687184
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.962846002062374,0.03715399793762592
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7580153116802143,0.24198468831978567
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.49623985333359677,0.5037601466664032
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.6346202059306651,0.3653797940693349
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.2728274276285755,0.7271725723714245
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9351018491661076,0.06489815083389243
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.8784745112370664,0.12152548876293355
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9866280307592427,0.013371969240757288
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9848569486666435,0.0151430513333565
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7349586312262608,0.26504136877373924
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7583035493591692,0.24169645064083073
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.0758323441531471,0.9241676558468529
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.9009961271005984,0.09900387289940164
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9955941957124264,0.004405804287573674
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.8048954365996025,0.19510456340039747
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9986560125345872,0.001343987465412803
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9975787389067621,0.0024212610932378953
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.28211229613507993,0.7178877038649201
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.4346761763323982,0.5653238236676018
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.32021562830138617,0.6797843716986138
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.001419131498560433,0.9985808685014396
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9961001399346703,0.003899860065329762
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.986741887425594,0.013258112574406062
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9368358995043401,0.06316410049565993
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9752163846843012,0.02478361531569887
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.5713671056686136,0.4286328943313864
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.03810920912802018,0.9618907908719798
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.30721642461834286,0.6927835753816571
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.0019458244923732382,0.9980541755076268
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9380135448407039,0.06198645515929614
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9881955036862011,0.011804496313798837
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9979713159033796,0.0020286840966203578
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9419442080283051,0.05805579197169488
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.022369066278297045,0.977630933721703
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.038202994331575035,0.961797005668425
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.03804656183945365,0.9619534381605463
EMB48,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.28334021203366244,0.7166597879663376
EMB48,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.999225288336402,0.0007747116635979507
EMB48,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9231409370978887,0.07685906290211136
EMB48,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9999834725667137,1.652743328625822e-05
EMB48,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9990352984867319,0.000964701513268084
BR16,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.002151211913136497,0.9978487880868635
BR16,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.06861520376380115,0.9313847962361989
BR16,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.05858807602578542,0.9414119239742146
BR16,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.00034027879627751556,0.9996597212037225
BR16,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.796201927235245,0.20379807276475498
BR16,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.6974295981305232,0.30257040186947676
BR16,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.8380375960794908,0.16196240392050915
BR16,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9348318076018675,0.06516819239813255
CD202,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.00048764125278699666,0.999512358747213
CD202,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.05714954030271924,0.9428504596972808
CD202,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.00026552042124816655,0.9997344795787518
