cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.12133333333333333,0.8786666666666667
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,Random Forest,1,0,IRR,NIRR,False,0.852,0.148
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,Random Forest,1,0,IRR,NIRR,False,0.712,0.288
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.124,0.876
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.9586666666666667,0.04133333333333333
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.7893333333333333,0.21066666666666667
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.8013333333333333,0.19866666666666666
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.772,0.228
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.29733333333333334,0.7026666666666667
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.21866666666666668,0.7813333333333333
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.22666666666666666,0.7733333333333333
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.12,0.88
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.9986666666666667,0.0013333333333333333
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.9986666666666667,0.0013333333333333333
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,Random Forest,0,0,NIRR,NIRR,True,0.9493333333333334,0.050666666666666665
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,Random Forest,0,1,NIRR,IRR,False,0.416,0.584
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,Random Forest,1,1,IRR,IRR,True,0.12533333333333332,0.8746666666666667
