cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.026836454418523944,0.973163545581476
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.19427080094685642,0.8057291990531438
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.3364980470509772,0.6635019529490228
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.21572430344797724,0.7842756965520229
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9721926607274232,0.027807339272576805
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.873394265501278,0.12660573449872198
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9551467213159821,0.04485327868401794
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9756735279479846,0.02432647205201534
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.15062119933748777,0.8493788006625123
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.146774248538205,0.853225751461795
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.18315827600961138,0.8168417239903888
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,2.5753687677519673e-06,0.9999974246312322
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9711055978829377,0.02889440211706223
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9729896463764942,0.027010353623505755
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9867781655168748,0.013221834483125163
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9692475639325443,0.030752436067455778
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.0665236273001334,0.9334763726998666
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.019933213566702888,0.9800667864332973
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,1.8276288509221008e-07,0.999999817237115
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.6015404960908164,0.39845950390918355
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9984234403859502,0.001576559614049678
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,1,NIRR,IRR,False,0.180666343767988,0.8193336562320119
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.993902566052755,0.006097433947245159
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9965799794777239,0.003420020522276095
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.004294883717569733,0.9957051162824303
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.016185222682061257,0.9838147773179384
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,9.232711146717584e-06,0.9999907672888533
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,8.727955996067385e-10,0.9999999991272045
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9999066201791599,9.337982084009037e-05
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9996616560884454,0.0003383439115545293
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.986493738226488,0.013506261773511897
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9992745169604322,0.0007254830395676836
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.02011449358133687,0.979885506418663
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,3.424386744025763e-10,0.9999999996575613
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.03517881627044796,0.9648211837295521
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,2.620396416637191e-10,0.9999999997379604
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9989863355751386,0.0010136644248612875
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.997322909458824,0.002677090541175973
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.999340327448472,0.0006596725515280302
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.994255392714015,0.005744607285985
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,1.0281195046023604e-09,0.9999999989718805
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,2.692214005796084e-09,0.999999997307786
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,2.113042964983147e-09,0.9999999978869569
