cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.0034186244010925293,0.9965813755989075
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.9916489720344543,0.008351042866706848
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.9061169028282166,0.09388309717178345
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.03943842649459839,0.9605615735054016
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.998858630657196,0.0011413503671064973
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9638102650642395,0.03618974611163139
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9889169335365295,0.011083061806857586
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.991710364818573,0.008289650082588196
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.10549700260162354,0.8945029973983765
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.041780829429626465,0.9582191705703735
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.10949903726577759,0.8905009627342224
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.002841949462890625,0.9971580505371094
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9986897110939026,0.001310301828198135
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9978426098823547,0.0021573922131210566
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.999322235584259,0.0006777637172490358
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,1,NIRR,IRR,False,0.3760395646095276,0.6239604353904724
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.005367159843444824,0.9946328401565552
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.002607107162475586,0.9973928928375244
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.0006142854690551758,0.9993857145309448
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.9512138366699219,0.04878614470362663
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9966885447502136,0.0033114750403910875
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,1,NIRR,IRR,False,0.07439136505126953,0.9256086349487305
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9858159422874451,0.014184050261974335
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9986720085144043,0.0013280007988214493
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.001154780387878418,0.9988452196121216
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.015556871891021729,0.9844431281089783
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.000706791877746582,0.9992932081222534
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.00034058094024658203,0.9996594190597534
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9990686178207397,0.0009313684422522783
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9992311596870422,0.0007688642363063991
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9770249724388123,0.022975053638219833
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9990819096565247,0.0009180650231428444
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.005606174468994141,0.9943938255310059
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.000534355640411377,0.9994656443595886
