cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,0,IRR|BR16,IRR|BR16,True,0.5538774285110792,0.04067718768603653,0.045022509493084596,0.3297493546835706,0.030480773329896432,0.0001927462963326855
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.2612009952189267,0.009051004861410283,0.017134842051396534,0.6963303125342466,0.016192608733837856,9.023660018188715e-05
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.08838889823280698,0.016469579004827095,0.002264652657335442,0.8837727044190121,0.009104140920562595,2.47654558994176e-08
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.06085771975297127,0.013606449969027063,0.006124802548452285,0.8509768542165098,0.06715637502140312,0.001277798491636532
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.2859976932751956,0.007244811932769761,0.007949046661515895,0.6734436889241647,0.025273274889421864,9.148431693207789e-05
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.02078930378730489,0.0008034730058241235,3.4037868086758116e-05,0.9775241928343171,0.0008489924422198394,6.224728743814247e-11
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,4,NIRR|BR16,NIRR|CD202,False,0.015205932240814096,0.033735650123132774,0.014995456774903566,0.16929575936314115,0.6200552510926713,0.14671195040533702
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.1123567835429716,0.017674676185181204,0.02173136113052388,0.769115870014796,0.07776095564210073,0.0013603534844265045
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,3,IRR|CD202,NIRR|BR16,False,0.07254494393172467,0.035148002715164696,0.026526642383001314,0.5272371579539681,0.31521979269770434,0.02332346031843689
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,4,IRR|CD202,NIRR|CD202,False,0.15154019051741882,0.15753721198217818,0.19334172673376632,0.054676794200643725,0.3554503697583148,0.08745370680767814
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,4,IRR|CD202,NIRR|CD202,False,0.00011679159674721916,0.006579839080619434,0.027536828113074327,0.008265418961993056,0.5466219963178892,0.41087912592967674
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,3,IRR|CD202,NIRR|BR16,False,0.1677314342988483,0.18333374418509268,0.18886612889245097,0.2725870846023257,0.17835853914419314,0.009123068877089179
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.035598751552827795,0.03798760611791974,0.024862272194777053,0.18683678672021137,0.5983994947773275,0.11631508863693657
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,3,NIRR|CD202,NIRR|BR16,False,0.013005973804001893,0.05016084749566337,0.03868149738958842,0.4575999888200837,0.43992081661807697,0.0006308758725854475
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.0031191808586362828,0.033688291434079636,0.021910844702037968,0.11180426684783167,0.6238548585687379,0.20562255758867654
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.005837288864717549,0.012386592456744934,0.0067882558820845556,0.20255876988249816,0.5794765736847588,0.19295251922919593
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,4,IRR|EMB48,NIRR|CD202,False,0.010747055516675064,0.07045470081606396,0.07788029415986611,0.24450501024256852,0.5923244343830193,0.004088504881807135
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,4,IRR|EMB48,NIRR|CD202,False,0.18454368686973338,0.16910068830825264,0.14665567893868572,0.2301091748281295,0.25012357076805486,0.019467200287143903
