cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.924,0.009333333333333334,0.048,0.018666666666666668,0.0,0.0
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,3,IRR|BR16,NIRR|BR16,False,0.108,0.0013333333333333333,0.0013333333333333333,0.884,0.005333333333333333,0.0
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.84,0.016,0.072,0.068,0.004,0.0
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.204,0.058666666666666666,0.6173333333333333,0.064,0.030666666666666665,0.025333333333333333
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,0,NIRR|BR16,IRR|BR16,False,0.552,0.0,0.0,0.424,0.013333333333333334,0.010666666666666666
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.016,0.0,0.0,0.9346666666666666,0.04933333333333333,0.0
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,4,NIRR|BR16,NIRR|CD202,False,0.0,0.168,0.008,0.004,0.476,0.344
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,0,NIRR|BR16,IRR|BR16,False,0.4,0.09866666666666667,0.204,0.284,0.008,0.005333333333333333
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.044,0.352,0.312,0.15466666666666667,0.0026666666666666666,0.13466666666666666
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,5,IRR|CD202,NIRR|EMB48,False,0.013333333333333334,0.02266666666666667,0.22933333333333333,0.016,0.03866666666666667,0.68
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,4,IRR|CD202,NIRR|CD202,False,0.0,0.028,0.10266666666666667,0.20266666666666666,0.6626666666666666,0.004
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.26,0.38533333333333336,0.3506666666666667,0.0,0.0013333333333333333,0.0026666666666666666
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.0,0.0013333333333333333,0.0013333333333333333,0.028,0.5173333333333333,0.452
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,3,NIRR|CD202,NIRR|BR16,False,0.0,0.034666666666666665,0.013333333333333334,0.5106666666666667,0.42533333333333334,0.016
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,3,NIRR|CD202,NIRR|BR16,False,0.0,0.13866666666666666,0.06266666666666666,0.6373333333333333,0.14533333333333334,0.016
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,3,NIRR|CD202,NIRR|BR16,False,0.0026666666666666666,0.12533333333333332,0.26266666666666666,0.4106666666666667,0.104,0.09466666666666666
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.0013333333333333333,0.5346666666666666,0.2946666666666667,0.164,0.0026666666666666666,0.0026666666666666666
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.15066666666666667,0.42533333333333334,0.26666666666666666,0.018666666666666668,0.0013333333333333333,0.13733333333333334
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.37333333333333335,0.392,0.23333333333333334,0.0,0.0013333333333333333,0.0
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,5,IRR|EMB48,NIRR|EMB48,False,0.0,0.14533333333333334,0.08266666666666667,0.004,0.344,0.424
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.0013333333333333333,0.0,0.0,0.188,0.8106666666666666
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,2,NIRR|EMB48,IRR|EMB48,False,0.012,0.16133333333333333,0.5346666666666666,0.24666666666666667,0.04533333333333334,0.0
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.02666666666666667,0.009333333333333334,0.0,0.17733333333333334,0.7866666666666666
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.037333333333333336,0.0013333333333333333,0.005333333333333333,0.09066666666666667,0.8653333333333333
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.992,0.0,0.0,0.008,0.0,0.0
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.6893333333333334,0.0013333333333333333,0.29733333333333334,0.010666666666666666,0.0013333333333333333,0.0
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.9866666666666667,0.004,0.009333333333333334,0.0,0.0,0.0
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.928,0.06533333333333333,0.004,0.0026666666666666666,0.0,0.0
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,4,NIRR|BR16,NIRR|CD202,False,0.006666666666666667,0.0,0.0,0.328,0.5733333333333334,0.092
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.0026666666666666666,0.0,0.0013333333333333333,0.8986666666666666,0.09733333333333333,0.0
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.0,0.0,0.0,0.508,0.3453333333333333,0.14666666666666667
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.0,0.0,0.0013333333333333333,0.964,0.034666666666666665,0.0
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,2,IRR|CD202,IRR|EMB48,False,0.0,0.2693333333333333,0.7053333333333334,0.009333333333333334,0.004,0.012
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,2,IRR|CD202,IRR|EMB48,False,0.02666666666666667,0.256,0.7173333333333334,0.0,0.0,0.0
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.0,0.444,0.31466666666666665,0.0026666666666666666,0.124,0.11466666666666667
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,0,IRR|CD202,IRR|BR16,False,0.8493333333333334,0.03866666666666667,0.112,0.0,0.0,0.0
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.0,0.0,0.0,0.034666666666666665,0.548,0.41733333333333333
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.0,0.0,0.0,0.036,0.692,0.272
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,5,NIRR|CD202,NIRR|EMB48,False,0.0,0.009333333333333334,0.0,0.0,0.128,0.8626666666666667
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.0,0.0013333333333333333,0.0,0.092,0.864,0.042666666666666665
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.0013333333333333333,0.8226666666666667,0.17466666666666666,0.0013333333333333333,0.0,0.0
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,2,IRR|EMB48,IRR|EMB48,True,0.04,0.092,0.868,0.0,0.0,0.0
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,0,IRR|EMB48,IRR|BR16,False,0.7853333333333333,0.15866666666666668,0.056,0.0,0.0,0.0
EMB48,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,2,2,IRR|EMB48,IRR|EMB48,True,0.009333333333333334,0.352,0.6266666666666667,0.009333333333333334,0.0,0.0026666666666666666
EMB48,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.006666666666666667,0.0,0.0,0.044,0.9493333333333334
EMB48,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,4,NIRR|EMB48,NIRR|CD202,False,0.0013333333333333333,0.005333333333333333,0.0,0.308,0.6813333333333333,0.004
EMB48,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.0026666666666666666,0.0,0.0,0.0013333333333333333,0.996
EMB48,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0,0.009333333333333334,0.0,0.0013333333333333333,0.068,0.9213333333333333
BR16,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao_genotipo,Random Forest,0,1,IRR|BR16,IRR|CD202,False,0.08666666666666667,0.648,0.2653333333333333,0.0,0.0,0.0
BR16,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.8653333333333333,0.03333333333333333,0.10133333333333333,0.0,0.0,0.0
