cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.9097905780133453,0.02250626001480526,0.011318507095874848,0.04591276928816535,0.005559690340659607,0.004912195247149554
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.6804338394212768,0.02392720203523141,0.01115628287784709,0.2641365082904112,0.012537755612089481,0.0078084117631440925
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.6105992780193388,0.07162909326380859,0.023547660516981837,0.2722450096499955,0.019167687708615027,0.002811270841260337
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,3,IRR|BR16,NIRR|BR16,False,0.184747071297302,0.10281911855254568,0.07435265111005677,0.5648995200997231,0.04619764927439409,0.02698398966597838
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,0,NIRR|BR16,IRR|BR16,False,0.5651199369193374,0.009405325497000589,0.006742224398624961,0.39969081391040123,0.011542261911348327,0.007499437363287468
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.05219816939593982,0.0017964420806834444,0.0016620117789340248,0.9295406870716343,0.011988123829045136,0.00281456584376347
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,4,NIRR|BR16,NIRR|CD202,False,0.006775113329967948,0.11391649206493837,0.032674294469774615,0.03229705173175903,0.6781213662032652,0.136215682200295
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,0,NIRR|BR16,IRR|BR16,False,0.5080638589972974,0.05973697386301025,0.042768773857215184,0.28545511615595265,0.0693717379899617,0.03460353913656289
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),1,1,IRR|CD202,IRR|CD202,True,0.0657701838548922,0.2588878727127833,0.31660035255009283,0.18696049987012187,0.08745286845092749,0.08432822256118194
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),1,2,IRR|CD202,IRR|EMB48,False,0.04366511964507357,0.19119160930840556,0.5021440334425418,0.0174037818034994,0.10127451474849927,0.14432094105198026
