cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.9769772291183472,0.012341177091002464,0.005769530776888132,0.004167473409324884,0.00016068597324192524,0.000583839719183743
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,3,IRR|BR16,NIRR|BR16,False,0.18356174230575562,0.030995214357972145,0.020762920379638672,0.7374426126480103,0.014297084882855415,0.012940446846187115
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.9855469465255737,0.0023497696965932846,0.005208454094827175,0.006234987173229456,0.00030791450990363955,0.0003519842866808176
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,2,IRR|BR16,IRR|EMB48,False,0.027572959661483765,0.026664655655622482,0.6601076722145081,0.24023675918579102,0.009030435234308243,0.03638751804828644
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,0,NIRR|BR16,IRR|BR16,False,0.7249556183815002,0.008556344546377659,0.0049930354580283165,0.25213423371315,0.0063211191445589066,0.0030396035872399807
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.001117745996452868,0.0002117902331519872,8.08636104920879e-05,0.9941074848175049,0.0043650739826262,0.00011703007476171479
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,5,NIRR|BR16,NIRR|EMB48,False,0.0025182762183248997,0.023907145485281944,0.00585046224296093,0.018532289192080498,0.156834214925766,0.7923575639724731
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.09782352298498154,0.1049589067697525,0.016755485907197,0.7427000999450684,0.0030774741899222136,0.03468453884124756
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,1,IRR|CD202,IRR|CD202,True,0.0312199667096138,0.5128408670425415,0.11778587847948074,0.20238462090492249,0.017459813505411148,0.11830883473157883
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,5,IRR|CD202,NIRR|EMB48,False,0.005359100177884102,0.048476237803697586,0.09196160733699799,0.005503496155142784,0.022362999618053436,0.8263366222381592
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,4,IRR|CD202,NIRR|CD202,False,0.001710611628368497,0.007691977545619011,0.007124962750822306,0.007422501686960459,0.9743918776512146,0.0016580092487856746
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,0,IRR|CD202,IRR|BR16,False,0.6582603454589844,0.11516427248716354,0.22030964493751526,0.0006151626002974808,0.0009577612509019673,0.004692825023084879
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,4,4,NIRR|CD202,NIRR|CD202,True,0.0021180633921176195,0.0071362038142979145,0.005813193507492542,0.00277150422334671,0.562899112701416,0.4192619025707245
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,4,3,NIRR|CD202,NIRR|BR16,False,0.0031698450911790133,0.0077259535901248455,0.005084959324449301,0.5760071873664856,0.40513694286346436,0.0028751082718372345
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,4,3,NIRR|CD202,NIRR|BR16,False,0.000963566591963172,0.03527490794658661,0.004120529629290104,0.9255547523498535,0.026832355186343193,0.007253858260810375
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,4,2,NIRR|CD202,IRR|EMB48,False,0.008929883129894733,0.07718749344348907,0.6377598643302917,0.19153687357902527,0.023171385750174522,0.06141451746225357
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,2,1,IRR|EMB48,IRR|CD202,False,0.004833715967833996,0.4986344277858734,0.46204936504364014,0.0314546599984169,0.0016681108390912414,0.0013597258366644382
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,2,2,IRR|EMB48,IRR|EMB48,True,0.073008231818676,0.39469608664512634,0.44868746399879456,0.022014645859599113,0.0021328632719814777,0.059460707008838654
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,2,1,IRR|EMB48,IRR|CD202,False,0.08824915438890457,0.757436990737915,0.15084077417850494,0.0011824009707197547,0.0007600074168294668,0.0015306309796869755
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,2,5,IRR|EMB48,NIRR|EMB48,False,0.005897178780287504,0.07076244801282883,0.13114498555660248,0.017528917640447617,0.3434477150440216,0.4312187433242798
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0001831188565120101,0.0027882899157702923,0.0002905034925788641,0.00288705388084054,0.037011560052633286,0.9568395018577576
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,5,2,NIRR|EMB48,IRR|EMB48,False,0.017797894775867462,0.037035100162029266,0.45710140466690063,0.4181175231933594,0.06354358047246933,0.006404433399438858
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.0004924500244669616,0.009964575059711933,0.005990053527057171,0.0022041683550924063,0.09186851233243942,0.8894802331924438
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.00023665469780098647,0.0014351431746035814,0.0005311220302246511,0.0024865514133125544,0.013315859250724316,0.9819946885108948
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.9944949746131897,0.0008911611512303352,0.00363030843436718,0.000714898866135627,1.910692299134098e-05,0.00024948673672042787
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.807118833065033,0.006028827745467424,0.18120954930782318,0.002976914867758751,0.0005525553715415299,0.00211328431032598
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.9896631836891174,0.0009597510797902942,0.00836886651813984,0.0008874570485204458,5.006775973015465e-05,7.062544318614528e-05
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.982591450214386,0.014766812324523926,0.0010230920743197203,0.001101058442145586,7.992776954779401e-05,0.0004377160803414881
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,4,NIRR|BR16,NIRR|CD202,False,0.005251055583357811,0.0023884212132543325,0.0012226196704432368,0.20550723373889923,0.7547741532325745,0.03085651434957981
