target,model,real,IRR|BR16|manha + tarde,IRR|BR16|unico,IRR|CD202|manha + tarde,IRR|CD202|unico,IRR|EMB48|manha + tarde,IRR|EMB48|unico,NIRR|BR16|manha + tarde,NIRR|BR16|unico,NIRR|CD202|manha + tarde,NIRR|CD202|unico,NIRR|EMB48|manha + tarde,NIRR|EMB48|unico
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde,7,1,2,0,1,0,1,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|BR16|unico,3,2,1,5,0,1,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|CD202|manha + tarde,0,2,4,0,4,0,0,0,0,2,0,0
condicao_genotipo_turno,XGBoost,IRR|CD202|unico,1,0,0,5,1,5,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|EMB48|manha + tarde,2,0,0,1,8,0,0,0,0,1,0,0
condicao_genotipo_turno,XGBoost,IRR|EMB48|unico,0,0,0,3,1,8,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,NIRR|BR16|manha + tarde,2,0,0,0,0,0,5,4,1,0,0,0
condicao_genotipo_turno,XGBoost,NIRR|BR16|unico,0,0,0,0,0,0,5,2,2,1,2,0
condicao_genotipo_turno,XGBoost,NIRR|CD202|manha + tarde,0,0,0,0,0,0,1,2,4,5,0,0
condicao_genotipo_turno,XGBoost,NIRR|CD202|unico,0,0,0,0,0,0,1,1,2,1,3,4
condicao_genotipo_turno,XGBoost,NIRR|EMB48|manha + tarde,0,0,0,0,1,0,0,1,0,1,3,6
condicao_genotipo_turno,XGBoost,NIRR|EMB48|unico,0,0,1,0,0,0,0,0,2,3,3,3
