target,model,classe,classe_codigo,precision,recall,f1,support
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde,0,0.5625,0.75,0.6428571428571429,12
condicao_genotipo_turno,SVM (RBF),IRR|BR16|unico,1,0.5,0.3333333333333333,0.4,12
condicao_genotipo_turno,SVM (RBF),IRR|CD202|manha + tarde,2,0.2,0.08333333333333333,0.11764705882352941,12
condicao_genotipo_turno,SVM (RBF),IRR|CD202|unico,3,0.1111111111111111,0.08333333333333333,0.09523809523809523,12
condicao_genotipo_turno,SVM (RBF),IRR|EMB48|manha + tarde,4,0.375,0.5,0.42857142857142855,12
condicao_genotipo_turno,SVM (RBF),IRR|EMB48|unico,5,0.3125,0.4166666666666667,0.35714285714285715,12
condicao_genotipo_turno,SVM (RBF),NIRR|BR16|manha + tarde,6,0.6363636363636364,0.5833333333333334,0.6086956521739131,12
condicao_genotipo_turno,SVM (RBF),NIRR|BR16|unico,7,0.3,0.25,0.2727272727272727,12
condicao_genotipo_turno,SVM (RBF),NIRR|CD202|manha + tarde,8,0.2962962962962963,0.6666666666666666,0.41025641025641024,12
condicao_genotipo_turno,SVM (RBF),NIRR|CD202|unico,9,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
condicao_genotipo_turno,SVM (RBF),NIRR|EMB48|manha + tarde,10,0.2,0.08333333333333333,0.11764705882352941,12
condicao_genotipo_turno,SVM (RBF),NIRR|EMB48|unico,11,0.3333333333333333,0.25,0.2857142857142857,12
