target,model,classe,classe_codigo,precision,recall,f1,support
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde,0,0.4666666666666667,0.5833333333333334,0.5185185185185185,12
condicao_genotipo_turno,XGBoost,IRR|BR16|unico,1,0.4,0.16666666666666666,0.23529411764705882,12
condicao_genotipo_turno,XGBoost,IRR|CD202|manha + tarde,2,0.5,0.3333333333333333,0.4,12
condicao_genotipo_turno,XGBoost,IRR|CD202|unico,3,0.35714285714285715,0.4166666666666667,0.38461538461538464,12
condicao_genotipo_turno,XGBoost,IRR|EMB48|manha + tarde,4,0.5,0.6666666666666666,0.5714285714285714,12
condicao_genotipo_turno,XGBoost,IRR|EMB48|unico,5,0.5714285714285714,0.6666666666666666,0.6153846153846154,12
condicao_genotipo_turno,XGBoost,NIRR|BR16|manha + tarde,6,0.38461538461538464,0.4166666666666667,0.4,12
condicao_genotipo_turno,XGBoost,NIRR|BR16|unico,7,0.2,0.16666666666666666,0.18181818181818182,12
condicao_genotipo_turno,XGBoost,NIRR|CD202|manha + tarde,8,0.36363636363636365,0.3333333333333333,0.34782608695652173,12
condicao_genotipo_turno,XGBoost,NIRR|CD202|unico,9,0.07142857142857142,0.08333333333333333,0.07692307692307693,12
condicao_genotipo_turno,XGBoost,NIRR|EMB48|manha + tarde,10,0.2727272727272727,0.25,0.2608695652173913,12
condicao_genotipo_turno,XGBoost,NIRR|EMB48|unico,11,0.23076923076923078,0.25,0.24,12
