cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.592223726846428,0.006909469228914426,0.038972270899723764,1.2370153060619211e-05,0.08337908075175479,4.471787877530286e-06,0.2393730802113975,0.03091857459669905,0.005949462227074731,0.00225426064937442,1.4688225808280355e-06,1.763825114227298e-06
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.369932080108869,5.417230943475789e-06,0.04008817148398054,8.198940675815507e-08,0.025029411726813274,1.2744863117520967e-07,0.4712866182077642,0.07938069918909321,0.009401808805510357,0.004788639227895069,6.219123072108087e-05,2.4753350371568853e-05
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.08769398665235832,1.707171753159312e-06,0.007560712221415646,1.0882857380220976e-06,0.005053964661147083,1.54287039754696e-07,0.4991219639492541,0.3669881759359471,0.02037187452559275,0.013128735768582213,7.757123632051908e-05,6.530485126639251e-08
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,7,IRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.11331293257958497,9.449501008135855e-05,0.027943276342548534,3.8045169742367726e-07,0.017256032084764984,1.78934652335573e-07,0.3584658464632663,0.4170601893845101,0.05108966270794889,0.012994813531762912,0.0015442365788533986,0.00023795593032895153
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.320468127490371,2.0897906833173986e-06,0.006183833434735566,9.903970195985003e-07,0.012354008159610314,8.168699289472825e-08,0.5177997425386655,0.13549764059233138,0.0026735234982148506,0.005011450667197842,8.510264070027672e-06,1.4801077242173493e-09
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,7,NIRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.049837239709565974,1.542382703292173e-08,0.0007458928749322468,9.927990825435074e-12,0.00012735706628529041,9.301751976902958e-12,0.3517156090630356,0.5927233101278182,0.003625062951897378,0.0012164800018538942,5.9717646339387235e-06,3.060996920836582e-06
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,8,NIRR|BR16|manha + tarde,NIRR|CD202|manha + tarde,False,0.012819751571392719,7.953682657964682e-06,0.05361629931486072,6.758747166440801e-07,0.049092335431728154,1.8273009388745517e-07,0.03746789968971776,0.08896885232106407,0.3596207138467269,0.2293267869617472,0.12053665056566772,0.048541898009626126
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.19565218626781866,0.0004977672844073183,0.03895901864705645,1.9959817428173297e-06,0.034217031558795866,3.7975018204824495e-07,0.43813087337811707,0.20845296561793314,0.06278655865498274,0.021200829631503552,5.340082980261888e-05,4.699239765768138e-05
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,8,IRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,False,0.014185829116171379,1.1181753597519103e-06,0.06276366586260883,4.083170914013516e-06,0.018605250892220697,1.998563112480968e-06,0.1386439699259906,0.22697348883994867,0.3274881542589308,0.19235052608824724,0.018773007495289953,0.00020890761120576754
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.0874531165364919,0.0005402852455874733,0.18841183464703687,6.849344256862489e-05,0.39592966503847854,2.8724673151643644e-05,0.02123755240420637,0.008035201604839065,0.08751859239969852,0.15189243010528458,0.05025955849058328,0.008624545412073099
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,10,IRR|CD202|manha + tarde,NIRR|EMB48|manha + tarde,False,0.0003056298541457458,1.4707495684997094e-08,0.0099507949865133,3.574838384292517e-07,0.015384045540059867,5.608472112734746e-07,0.005312011722426887,0.005276546332268184,0.16028107246692286,0.23081257612886488,0.3430119091463945,0.22966448078385826
