cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.976,0.005333333333333333,0.0013333333333333333,0.0,0.004,0.0,0.008,0.004,0.0,0.0013333333333333333,0.0,0.0
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.05466666666666667,0.0,0.0,0.0,0.0,0.0,0.9453333333333334,0.0,0.0,0.0,0.0,0.0
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.4186666666666667,0.24133333333333334,0.08133333333333333,0.0,0.07466666666666667,0.0,0.16133333333333333,0.02,0.0013333333333333333,0.0,0.0013333333333333333,0.0
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,4,IRR|BR16|manha + tarde,IRR|EMB48|manha + tarde,False,0.23066666666666666,0.0026666666666666666,0.03866666666666667,0.0,0.5253333333333333,0.0,0.06666666666666667,0.06,0.009333333333333334,0.017333333333333333,0.04933333333333333,0.0
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,0,NIRR|BR16|manha + tarde,IRR|BR16|manha + tarde,False,0.628,0.0,0.0,0.0,0.0,0.0,0.21733333333333332,0.11733333333333333,0.0,0.037333333333333336,0.0,0.0
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.0013333333333333333,0.0,0.0,0.0,0.0,0.0,0.808,0.021333333333333333,0.14133333333333334,0.02666666666666667,0.0013333333333333333,0.0
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,8,NIRR|BR16|manha + tarde,NIRR|CD202|manha + tarde,False,0.0,0.0,0.09066666666666667,0.0,0.20933333333333334,0.0,0.0013333333333333333,0.029333333333333333,0.3253333333333333,0.017333333333333333,0.32266666666666666,0.004
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,0,NIRR|BR16|manha + tarde,IRR|BR16|manha + tarde,False,0.49333333333333335,0.004,0.037333333333333336,0.0,0.08133333333333333,0.0,0.2653333333333333,0.02266666666666667,0.088,0.0013333333333333333,0.0,0.006666666666666667
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,2,2,IRR|CD202|manha + tarde,IRR|CD202|manha + tarde,True,0.024,0.0,0.5093333333333333,0.0,0.2,0.0013333333333333333,0.048,0.0,0.028,0.004,0.18133333333333335,0.004
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.017333333333333333,0.0,0.03333333333333333,0.0,0.5053333333333333,0.0,0.004,0.0013333333333333333,0.028,0.032,0.21866666666666668,0.16
