cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.3633739354085269,0.6366260645914731
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.5579268406624021,0.44207315933759794
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7963447275724411,0.2036552724275589
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7899050469380151,0.21009495306198486
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9188226871644968,0.08117731283550322
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.6839820779013042,0.31601792209869584
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9738016998953481,0.02619830010465181
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9654724536321709,0.03452754636782907
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.8458317313762244,0.15416826862377564
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.4817347904151843,0.5182652095848157
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.6049823973964215,0.3950176026035785
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.33466583484218015,0.6653341651578198
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9305390029315727,0.06946099706842739
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.8770407935145046,0.12295920648549546
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9895147325756087,0.010485267424391317
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9904635435721698,0.009536456427830154
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7913518290700324,0.20864817092996757
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.6893786538059112,0.3106213461940887
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.07370399838884112,0.9262960016111589
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.9158759549558675,0.08412404504413255
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9961505238141292,0.003849476185870783
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.8241603792007435,0.17583962079925658
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.99930016594659,0.0006998340534099942
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9973302037732487,0.0026697962267513793
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.23335045342349692,0.7666495465765031
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.42636181863380784,0.5736381813661922
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.3575173981945716,0.6424826018054284
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.0010150227388255884,0.9989849772611744
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9958113588778674,0.004188641122132585
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9896718122893662,0.010328187710633787
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9195079394420888,0.08049206055791126
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9730180107756297,0.02698198922437037
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,0,IRR,NIRR,False,0.7116914995346734,0.28830850046532663
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.03439962162914978,0.9656003783708502
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.3179082022306371,0.6820917977693629
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.0017488965286098779,0.9982511034713901
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9465801904148771,0.05341980958512297
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9871983456551235,0.01280165434487645
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.998511042088233,0.001488957911767002
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9369914417016092,0.06300855829839086
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.023713527666854972,0.976286472333145
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.02427254910352894,0.9757274508964711
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.03743425964924918,0.9625657403507508
EMB48,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,1,1,IRR,IRR,True,0.21094529309307375,0.7890547069069263
EMB48,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.999251321942574,0.0007486780574259997
EMB48,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9211992814986724,0.07880071850132762
EMB48,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9999768441374437,2.3155862556331317e-05
EMB48,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,LDA,0,0,NIRR,NIRR,True,0.9986484622072567,0.0013515377927433008
BR16,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.003316605303268938,0.9966833946967311
BR16,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.0654063378027675,0.9345936621972325
BR16,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.07440836380817151,0.9255916361918285
BR16,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.0005588102122374705,0.9994411897877625
BR16,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.8944767019869663,0.1055232980130337
BR16,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.7058814434211426,0.29411855657885744
BR16,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.8454644692289792,0.1545355307710208
BR16,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9643032288180916,0.03569677118190838
CD202,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.000538673353571717,0.9994613266464283
CD202,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.04285498236090557,0.9571450176390944
CD202,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.0002465673795043477,0.9997534326204957
CD202,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.0003423367476893535,0.9996576632523106
CD202,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.8948823320423962,0.10511766795760379
CD202,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,0,1,NIRR,IRR,False,0.40486396985082784,0.5951360301491722
CD202,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9736454695341379,0.026354530465862062
CD202,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.8704343101756549,0.12956568982434513
EMB48,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,8.919191122669368e-05,0.9999108080887733
EMB48,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.0014069753580372435,0.9985930246419628
EMB48,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.00010672606707817778,0.9998932739329218
EMB48,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.003646218004062729,0.9963537819959373
EMB48,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9892520238645122,0.010747976135487891
EMB48,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao,LDA,0,1,NIRR,IRR,False,0.3235975098692271,0.6764024901307729
EMB48,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9753949370584991,0.024605062941500895
EMB48,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9360434662936776,0.06395653370632236
BR16,IRR,2017-02-26,dia5,1,B1,unico,unico,condicao,LDA,1,1,IRR,IRR,True,8.898242214505636e-06,0.9999911017577855
BR16,IRR,2017-02-26,dia5,2,B2,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.06224278364132496,0.937757216358675
BR16,IRR,2017-02-26,dia5,3,B3,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.04469045233483504,0.955309547665165
BR16,IRR,2017-02-26,dia5,4,B4,unico,unico,condicao,LDA,1,1,IRR,IRR,True,0.000355220705757997,0.999644779294242
BR16,NIRR,2017-02-26,dia5,1,B1,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.95674133018801,0.043258669811990016
BR16,NIRR,2017-02-26,dia5,2,B2,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9978942923176578,0.0021057076823422227
BR16,NIRR,2017-02-26,dia5,3,B3,unico,unico,condicao,LDA,0,0,NIRR,NIRR,True,0.9736619627460436,0.026338037253956437
