cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.2077276199817435,0.7922723800182562
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.4688150871251753,0.5311849128748248
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.6597877236899491,0.3402122763100509
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.7282726723062539,0.2717273276937462
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.8850439348616693,0.11495606513833054
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.6821867167802751,0.3178132832197249
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9466571807388382,0.05334281926116177
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9276175757131461,0.07238242428685383
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.7151159512403507,0.2848840487596492
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.08585987251600892,0.9141401274839911
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.1605516979514319,0.839448302048568
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.080228834833551,0.9197711651664489
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.8997755718355266,0.10022442816447359
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.8603561372726282,0.1396438627273716
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9655383400866554,0.03446165991334464
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9347244917875106,0.06527550821248929
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.5509021267496569,0.449097873250343
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.07132552061642478,0.9286744793835754
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,7.2164238957557245e-06,0.9999927835761042
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.8026495751285033,0.19735042487149676
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9756971328344387,0.024302867165561456
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.4238192576076376,0.5761807423923623
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9533664270182174,0.046633572981782535
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9590931262304326,0.04090687376956731
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.09626085159297261,0.9037391484070275
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.09967411401763668,0.9003258859823634
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.028789930199738044,0.9712100698002617
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,1.5578058251397963e-05,0.9999844219417486
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.971191673679406,0.028808326320593935
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9899761727215307,0.01002382727846916
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.8351057410218444,0.16489425897815546
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),0,0,NIRR,NIRR,True,0.9800634201672603,0.019936579832739568
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,SVM (RBF),1,0,IRR,NIRR,False,0.4269938109894884,0.5730061890105117
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,8.7918702529675e-07,0.9999991208129746
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,0.05970895324015201,0.940291046759848
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,SVM (RBF),1,1,IRR,IRR,True,1.031849810050009e-05,0.9999896815018995
