cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.6186666666666667,0.032,0.152,0.188,0.005333333333333333,0.004
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,3,IRR|BR16,NIRR|BR16,False,0.11066666666666666,0.006666666666666667,0.008,0.852,0.021333333333333333,0.0013333333333333333
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.6493333333333333,0.03866666666666667,0.112,0.17466666666666666,0.025333333333333333,0.0
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.25466666666666665,0.16666666666666666,0.368,0.13866666666666666,0.02666666666666667,0.04533333333333334
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.372,0.010666666666666666,0.014666666666666666,0.5373333333333333,0.04933333333333333,0.016
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.042666666666666665,0.0,0.0,0.6026666666666667,0.3546666666666667,0.0
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,4,NIRR|BR16,NIRR|CD202,False,0.004,0.20133333333333334,0.036,0.06266666666666666,0.4786666666666667,0.21733333333333332
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.28933333333333333,0.05333333333333334,0.08133333333333333,0.5506666666666666,0.008,0.017333333333333333
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,2,IRR|CD202,IRR|EMB48,False,0.024,0.30133333333333334,0.38133333333333336,0.17866666666666667,0.0026666666666666666,0.112
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,Random Forest,1,5,IRR|CD202,NIRR|EMB48,False,0.04,0.15866666666666668,0.232,0.03333333333333333,0.16533333333333333,0.37066666666666664
