cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.6760921478271484,0.1342734545469284,0.015738971531391144,0.013125707395374775,0.016438614577054977,0.034075360745191574,0.07685158401727676,0.01061728224158287,0.007835942320525646,0.004832250066101551,0.004064359236508608,0.006054332945495844
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.05329982936382294,0.08798623085021973,0.006128659471869469,0.002246381249278784,0.01656200736761093,0.001495126518420875,0.7808918952941895,0.005937299691140652,0.007199389394372702,0.021072693169116974,0.0024668953847140074,0.01471360120922327
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.653590977191925,0.03723014518618584,0.03365304321050644,0.0034251839388161898,0.034920793026685715,0.004944038111716509,0.1063920259475708,0.10167623311281204,0.00729393120855093,0.005336529575288296,0.0070776124484837055,0.004459530580788851
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,0,4,IRR|BR16|manha + tarde,IRR|EMB48|manha + tarde,False,0.19529138505458832,0.062010250985622406,0.08725262433290482,0.018485654145479202,0.2512727379798889,0.021161451935768127,0.16499292850494385,0.012187820859253407,0.02572125382721424,0.02723626419901848,0.10702096670866013,0.02736666426062584
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.06697060912847519,0.010139438323676586,0.005283899139612913,0.0012768094893544912,0.009723523631691933,0.0014539726544171572,0.886730432510376,0.007564820349216461,0.0020271160174161196,0.0051070526242256165,0.0022070358972996473,0.001515310606919229
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.016588175669312477,0.0028359058778733015,0.0008921935223042965,0.00047715118853375316,0.0008031721226871014,0.00044997065560892224,0.6664595603942871,0.015510651282966137,0.16413751244544983,0.12440107017755508,0.005165100563317537,0.0022795130498707294
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,6,7,NIRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.02012515440583229,0.018412746489048004,0.09879717975854874,0.027107207104563713,0.058104582130908966,0.017247959971427917,0.023625101894140244,0.27739715576171875,0.2711242437362671,0.04853668436408043,0.1177387535572052,0.02178320474922657
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,6,0,NIRR|BR16|manha + tarde,IRR|BR16|manha + tarde,False,0.7994639873504639,0.02267906442284584,0.04381074011325836,0.003147237468510866,0.004248110111802816,0.002038904232904315,0.0924944281578064,0.014437239617109299,0.006084910593926907,0.0037058787420392036,0.0032160808332264423,0.004673353862017393
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,2,2,IRR|CD202|manha + tarde,IRR|CD202|manha + tarde,True,0.017420819029211998,0.014826449565589428,0.42255422472953796,0.007895251736044884,0.3966474235057831,0.008279788307845592,0.02106827311217785,0.016160212457180023,0.02781149558722973,0.018657928332686424,0.038860056549310684,0.00981813296675682
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,XGBoost,2,0,IRR|CD202|manha + tarde,IRR|BR16|manha + tarde,False,0.22361807525157928,0.03590359538793564,0.14954335987567902,0.031325701624155045,0.16063284873962402,0.0358600914478302,0.02987324818968773,0.018367359414696693,0.058761924505233765,0.041690703481435776,0.17791977524757385,0.03650331124663353
