cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,0,IRR|BR16,IRR|BR16,True,0.5729681986339968,0.043298850534960485,0.047227053062619206,0.30853268465666295,0.02783640776631088,0.0001368053454495609
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.2426861104715887,0.01055935288952285,0.02244214176293101,0.7016835506830257,0.02245084985111702,0.0001779943418148727
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.08079600572830897,0.03106688365191117,0.008374713524180216,0.8536918899810574,0.026069728837191584,7.782773505141749e-07
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,0,3,IRR|BR16,NIRR|BR16,False,0.07141379466900319,0.020613260542000564,0.012187519751770088,0.7539365337516543,0.13553261195236238,0.006316279333209603
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.2877291316376174,0.010492092122993431,0.010918214457195655,0.6578383356270496,0.032892236951279186,0.00012998920386482151
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.02047094730025833,0.0018774297813508873,0.00025640847697507436,0.9736972177512583,0.003697990266204882,6.423952302632966e-09
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,4,NIRR|BR16,NIRR|CD202,False,0.010422414202618389,0.023824270261045485,0.010567880790899029,0.17626406019176538,0.5923469871038687,0.18657438744980312
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.09517858105575613,0.021064174016246,0.027679353264089324,0.7473673382583378,0.10587580551167063,0.0028347478939000892
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,3,IRR|CD202,NIRR|BR16,False,0.049632966628707434,0.04077433628416737,0.028427402234123704,0.4368514831768916,0.392899022961331,0.05141478871477893
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,4,IRR|CD202,NIRR|CD202,False,0.1847524608683757,0.13235771381480219,0.1524775724793497,0.14610418523711072,0.3338451952070922,0.050462872393269576
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,4,IRR|CD202,NIRR|CD202,False,0.0002611729582176247,0.008821487621568728,0.021777428582231112,0.025493567027818347,0.6729416681789189,0.27070467563124534
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,1,3,IRR|CD202,NIRR|BR16,False,0.16618747303971967,0.17967172561458147,0.1974191596825901,0.264589055105582,0.18048572248459702,0.011646864072929773
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.029446171029979994,0.026692612942744345,0.017830644742061853,0.26735172891402015,0.5507140744319913,0.10796476793920241
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,3,NIRR|CD202,NIRR|BR16,False,0.013520169705194164,0.03980096412425753,0.03582875734007307,0.5390463246099084,0.37097309274703516,0.0008306914735317285
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.0026980985514958563,0.02784653169750562,0.017648745163618498,0.11671676959348073,0.5928677799201009,0.24222207507379848
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.0028409680132140533,0.009055251146067457,0.004763269501521249,0.1348772515174572,0.5139929997017928,0.3344702601199472
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,4,IRR|EMB48,NIRR|CD202,False,0.00865732072121352,0.06256861877794404,0.06378684033951335,0.24805750581902059,0.6082760181716853,0.0086536961706233
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,3,IRR|EMB48,NIRR|BR16,False,0.19110856659072376,0.15822271595755813,0.12969687428776905,0.2634827085028058,0.2427729146714707,0.0147162199896725
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,2,IRR|EMB48,IRR|EMB48,True,0.20463554758710253,0.19404900220444293,0.29768638927223817,0.18154586546444604,0.11587437798802112,0.006208817483749205
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,LDA,2,4,IRR|EMB48,NIRR|CD202,False,0.011179516662576295,0.047220332022083124,0.02442692754501716,0.06143446423837901,0.5655841292229169,0.29015463030902755
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,LDA,5,5,NIRR|EMB48,NIRR|EMB48,True,6.973898939354603e-06,0.000644221459586898,9.677994027614212e-05,0.0008105370258928737,0.1561744766060834,0.8422670110692214
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,LDA,5,4,NIRR|EMB48,NIRR|CD202,False,0.006510166540962941,0.0385514920277011,0.038565366116435906,0.3153826798873485,0.5950817109702609,0.005908584457290691
