cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.6511338594436958,0.10309233186039612,0.08520003995859823,0.11177986825732836,0.025533516479292067,0.023260384000689676
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.5113066250515357,0.09508075665278912,0.06677828868965976,0.266234772556116,0.031072647240291684,0.029526909809607264
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,3,IRR|BR16,NIRR|BR16,False,0.24671839115470262,0.17216385679345583,0.11312981690884001,0.38298089824101944,0.056343762283673667,0.028663274618308685
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),0,3,IRR|BR16,NIRR|BR16,False,0.13464666828768193,0.12732450126385442,0.11519486379180519,0.35946663745254065,0.16626066920502255,0.09710665999909474
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.3952159356655097,0.0683438030658232,0.06310504113498318,0.3854149688770353,0.04145845453293585,0.04646179672371252
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.13105887969967164,0.034703055346024116,0.02463414161315277,0.7081210289076509,0.048761947739045235,0.05272094669445532
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,4,NIRR|BR16,NIRR|CD202,False,0.02063230096109814,0.14925194595997388,0.05812330449702041,0.07731023713045006,0.46049030155291365,0.23419190989854388
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.28408708137958844,0.08984993767417551,0.09164175457542117,0.3728388331738378,0.09544339502045371,0.06613899817652301
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),1,4,IRR|CD202,NIRR|CD202,False,0.06529857011397583,0.2265001820249956,0.1930443509183951,0.1459120490433358,0.22524975143981424,0.14399509645948366
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,SVM (RBF),1,4,IRR|CD202,NIRR|CD202,False,0.13131795616058534,0.18239949864842012,0.2609197635469689,0.09514117776732807,0.19309277832471672,0.13712882555198097
