target,model,real,IRR|BR16|manha + tarde,IRR|BR16|unico,IRR|CD202|manha + tarde,IRR|CD202|unico,IRR|EMB48|manha + tarde,IRR|EMB48|unico,NIRR|BR16|manha + tarde,NIRR|BR16|unico,NIRR|CD202|manha + tarde,NIRR|CD202|unico,NIRR|EMB48|manha + tarde,NIRR|EMB48|unico
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde,7,1,2,0,1,0,1,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|BR16|unico,4,1,1,5,0,1,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|CD202|manha + tarde,1,1,4,0,5,0,0,0,0,1,0,0
condicao_genotipo_turno,XGBoost,IRR|CD202|unico,1,1,0,5,1,4,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,IRR|EMB48|manha + tarde,2,1,5,0,3,0,0,0,0,0,1,0
condicao_genotipo_turno,XGBoost,IRR|EMB48|unico,0,0,0,4,1,7,0,0,0,0,0,0
condicao_genotipo_turno,XGBoost,NIRR|BR16|manha + tarde,1,0,0,0,0,0,5,6,0,0,0,0
condicao_genotipo_turno,XGBoost,NIRR|BR16|unico,0,0,0,0,0,0,5,2,3,0,2,0
condicao_genotipo_turno,XGBoost,NIRR|CD202|manha + tarde,0,0,0,0,0,0,2,2,5,1,1,1
condicao_genotipo_turno,XGBoost,NIRR|CD202|unico,0,0,0,0,0,0,1,1,5,0,2,3
condicao_genotipo_turno,XGBoost,NIRR|EMB48|manha + tarde,0,0,0,0,1,0,0,2,0,0,2,7
condicao_genotipo_turno,XGBoost,NIRR|EMB48|unico,0,0,0,0,0,0,0,0,2,3,4,3
