cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.6112149304771102,0.004251501501363979,0.027189041254184396,4.2438859669931676e-06,0.08846682905939666,1.1713913922729837e-06,0.24129928420703647,0.023693976886416262,0.0027009854788087304,0.001177278017234757,3.8718154713234377e-07,3.7065954218953203e-07
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.3583054493252207,1.2702342069462418e-06,0.036533260030530874,2.6057545953187836e-08,0.03219729458182104,5.035998048426519e-08,0.4956725380667508,0.06289692789173781,0.00886282353160497,0.0054392712590436605,6.15779235617358e-05,2.951073799479941e-05
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.12340104849448838,1.279519456564517e-06,0.030859437993940256,1.803716229275708e-06,0.02542530280426016,3.791041801142652e-07,0.4565481101222755,0.30270599887548916,0.028523366839647738,0.03226959662829767,0.0002635184083113679,1.5749342373712681e-07
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,7,IRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.11325050378789857,6.41759433092908e-05,0.05452877680819471,6.574028385393744e-07,0.04625132287351224,2.8068242227849516e-07,0.3144998817046548,0.3427957484050029,0.08386964205381929,0.03750310759507358,0.006385036205342068,0.0008508665379316999
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.3520933265729661,5.716185568058636e-07,0.008382903905360032,5.565572720898334e-07,0.024855797583972408,3.916834728821405e-08,0.4902027250342031,0.11724767091473975,0.0017108640685262137,0.005499935726221664,5.6084174158990845e-06,4.324188281458907e-10
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.037969808350132014,2.41064594389734e-09,0.0014118234610315651,9.84824877263972e-12,0.000484160814338222,1.5661886898371712e-11,0.5630509730877791,0.3815314909231555,0.011007849075113988,0.004467516202297793,4.6444159358851586e-05,2.9931490636895453e-05
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,8,NIRR|BR16|manha + tarde,NIRR|CD202|manha + tarde,False,0.0069157743649273466,1.7781955139843337e-06,0.03901076697010393,1.99054729863825e-07,0.03469251516466382,4.4984836731459434e-08,0.03288535916759085,0.10849272991404367,0.3372757750185412,0.23888524587729015,0.14887820568305188,0.0529616056047065
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.19730205520425226,0.00025712930734057203,0.04548607608973672,1.0974719908745222e-06,0.05743377792964689,1.4449258555658972e-07,0.43646538537139135,0.18870350721550272,0.05174925945010785,0.02250401219952439,5.22785792449613e-05,4.527668867603258e-05
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,8,IRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,False,0.00905821082484544,4.012856221524272e-07,0.10885002041940277,2.4101920344929985e-06,0.03095974133557596,2.0546347349800944e-06,0.08221627683516758,0.1495711489902228,0.33980150474776344,0.24134781046186435,0.03782877287420882,0.0003616473985572427
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.1301584754943254,0.00026138282140363337,0.16616118887157758,1.703774417114187e-05,0.377411097076589,6.48825607138303e-06,0.050084378569241125,0.029480428865412144,0.08534684983752004,0.1259707802856927,0.0315857686522391,0.003516123525756891
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,10,IRR|CD202|manha + tarde,NIRR|EMB48|manha + tarde,False,0.0005881056470985404,7.534363802380106e-09,0.0104266893676501,6.898772075451352e-08,0.011084470048195138,1.0032513620988634e-07,0.00910146732742014,0.021590348906904675,0.20259462435181305,0.2771667228993404,0.28262899668080194,0.1848183979235552
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.250069948454036,0.0044326409773852915,0.2860391914653759,0.00021890483057363604,0.29729384934869085,3.5226199787534435e-05,0.06768223285882245,0.03795027722342903,0.03647755654321984,0.019496542437308313,0.00015585715706118643,0.00014777250430983362
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,8,9,NIRR|CD202|manha + tarde,NIRR|CD202|unico,False,0.025359937551854037,3.237790189022201e-06,0.035877275866520654,1.4638063551224221e-07,0.055486938096223105,3.9197844824084497e-08,0.08297621423863373,0.13869886259726485,0.2698721576988502,0.2730279422868525,0.09843254353082953,0.020264704764302
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,8,7,NIRR|CD202|manha + tarde,NIRR|BR16|unico,False,0.02940188588195879,1.2562464060068724e-05,0.04262587301854636,2.729084823671795e-07,0.04686397338901333,1.6648268976689237e-08,0.2079836256787131,0.27910262165746774,0.21010526256959555,0.17822011014521283,0.002961111435509182,0.002722684203171572
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,8,8,NIRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,True,0.000726843194553749,3.2364356239664485e-09,0.02743076632702616,4.5254897574154435e-08,0.007108072981072238,4.932674732756598e-08,0.028144699401070162,0.07716715673623413,0.4010177813604245,0.3231760708878322,0.1318003633090256,0.0034281479846806993
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,8,8,NIRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,True,0.0008519801892277235,9.684515698399718e-09,0.008273384500526811,2.187449688905965e-08,0.0034818919275133205,2.3734382088342087e-08,0.012928758667535564,0.13317222926952457,0.26967082795489017,0.24905579768477396,0.20694503751306775,0.11562003699954541
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,4,8,IRR|EMB48|manha + tarde,NIRR|CD202|manha + tarde,False,0.007077748545948262,1.0447287138589306e-06,0.22665626265408895,9.928343892416544e-06,0.07126178815798949,1.1857908741628246e-05,0.029743696492999617,0.048502932231926546,0.28075383849487917,0.26500387635979883,0.07001729489449368,0.0009597311865275831
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,4,4,IRR|EMB48|manha + tarde,IRR|EMB48|manha + tarde,True,0.1833455510373807,0.0013844517345197073,0.23341982141671067,5.670224248579652e-05,0.3083544169548286,7.153502252314354e-06,0.10226612791853527,0.06518060075859583,0.06134398406849747,0.04377800911569373,0.0004278850704095909,0.00043529618009020745
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,4,4,IRR|EMB48|manha + tarde,IRR|EMB48|manha + tarde,True,0.27400636858520405,0.0033977239447223083,0.20422584160082546,0.0001302463227052061,0.42774651368176686,7.335543030657529e-05,0.0390051622064947,0.011998989823164325,0.016368580992236405,0.019778567909282757,0.0030508711243890626,0.0002177783789024073
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,4,9,IRR|EMB48|manha + tarde,NIRR|CD202|unico,False,0.005103698714203062,9.909500032594978e-08,0.03903857509385191,2.7621856826313784e-07,0.03312066078317417,3.87391635734928e-07,0.03714850516536868,0.0759066970172075,0.2729070117300111,0.3047701514894414,0.14869713051474584,0.08330680678679202
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,10,11,NIRR|EMB48|manha + tarde,NIRR|EMB48|unico,False,5.79912328727401e-09,2.9116218706636134e-14,5.720870731325305e-05,3.4741678468256947e-12,2.5095627264076687e-06,2.7895173790101024e-11,3.5366809230738468e-06,6.169159670694922e-05,0.02637643399225761,0.008211282432405488,0.3073757356558826,0.6579115955412628
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,10,8,NIRR|EMB48|manha + tarde,NIRR|CD202|manha + tarde,False,0.022810337602450013,3.3903556978906685e-05,0.12237419306396333,4.628775666763834e-06,0.0774011262404749,2.9111888200091903e-07,0.065393108651887,0.15170712395206487,0.3013946514736797,0.23399405445245003,0.012769165338728898,0.012117415772773652
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,10,11,NIRR|EMB48|manha + tarde,NIRR|EMB48|unico,False,1.707473406368355e-07,3.880126876709064e-11,0.0002688346087247235,3.9887784723490205e-10,6.937727203000952e-05,2.5235429904157245e-11,5.606267492396954e-06,0.0003465705818658563,0.04401267438601408,0.023083814470138336,0.20285976763165262,0.7293531835718268
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,10,10,NIRR|EMB48|manha + tarde,NIRR|EMB48|manha + tarde,True,7.986525179024131e-07,3.817539399330504e-12,9.299891284835477e-05,2.9276484419167616e-10,7.64270682107857e-05,3.4950672575654653e-10,8.554943687673102e-05,0.0012017183855884755,0.04229852669824877,0.071714458152616,0.4797778067414603,0.40475171530554366
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.7473118761322547,0.013625315282295299,0.022754389446418763,1.1631995494467968e-05,0.08661650030658888,4.34775501381834e-06,0.12093006764334337,0.007688615178300971,0.0007557894307850266,0.00030135234759945905,5.852092120912091e-08,5.596098402024324e-08
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.4337174348903154,1.450080270008935e-05,0.12989477531379884,1.0458128345430665e-06,0.13676109461430142,1.9143580306465024e-06,0.24552310265981944,0.03338528587233043,0.011694060166408239,0.008747789096582102,0.00018418054597850678,7.481586690042537e-05
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.6923613795846094,3.5347383013820115e-05,0.029375996853342475,3.253511604507838e-05,0.07824646734540558,3.0421815157618306e-06,0.16510881387161075,0.031090969163852317,0.0008842792032026814,0.0028577778369431187,3.3912135603399654e-06,2.468988210298019e-10
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,0,1,IRR|BR16|manha + tarde,IRR|BR16|unico,False,0.0038143648567021855,0.8500279908440802,0.003524604587751793,0.0473861037905463,0.004898949247830036,0.09034507194729881,2.7438460862410186e-06,8.021198277147933e-08,4.935277002297312e-08,3.933667163497014e-08,1.9452973398528996e-09,3.298273059577532e-11
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,7,NIRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.006043105654946059,2.353596386136049e-09,0.011555652412450488,1.2228815601819456e-08,0.00655265495703671,4.2901527123646476e-09,0.25644672065468105,0.3802277945088999,0.15632934872414886,0.17466540047351015,0.008149195992998449,3.0107748763697185e-05
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,7,NIRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.011489760534782359,3.4734613299108304e-09,0.0034115669445418627,1.3657438893133573e-10,0.0011020892981471488,1.8100512965201998e-10,0.23479512184234377,0.6288400209087385,0.07624299239696813,0.040185171404978036,0.0024140884694895965,0.0015191844089698417
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.05713731682246025,9.027954703902361e-07,0.010094828342475293,8.441446580503758e-09,0.03116694868267161,2.6985842154428666e-09,0.24030648571412863,0.21066506129274803,0.16380937246048446,0.23898013641267893,0.04287481507361231,0.004964121263239294
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.034264367620878936,5.78511801967764e-06,0.010090565072097907,1.7856440555851868e-08,0.012717981435627777,1.3454823644621488e-09,0.4605049817104758,0.3432019693770072,0.08852933725175323,0.0503208102710038,0.00019643687884261189,0.000167746062369974
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,2,IRR|CD202|manha + tarde,IRR|CD202|manha + tarde,True,0.007611053319836949,5.287103416765279e-06,0.3071880312544337,4.156611075740436e-05,0.06812850276432884,5.845550083370692e-05,0.022354704307273297,0.040934235390372775,0.29214436290691,0.1976919263833683,0.06283870878417129,0.001003166174297084
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,LDA,2,2,IRR|CD202|manha + tarde,IRR|CD202|manha + tarde,True,0.017480457099274493,0.08131009295232805,0.43652294730280494,0.06276597256334515,0.364632075169275,0.03471124155237611,0.00028282334272801434,0.00011387707723754802,0.0009910171589516694,0.0008364053275182977,0.00031632472579060854,3.67657283702531e-05
