cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.3637879744899831,0.1775652291886211,0.06902726554257944,0.027852870688573183,0.04788017595145353,0.028826662594311665,0.09439562470818709,0.06894477919353839,0.028000733288743248,0.025053849060399865,0.02624847462547142,0.042416360668137976
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.3030379311497645,0.08123427946414885,0.06283811710690955,0.023158492679816865,0.07627493303450324,0.0196879474309019,0.1975097291399691,0.05514021239367974,0.04113655455233714,0.05040543870033721,0.03624543708301855,0.05333092726461362
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),0,7,IRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.1689302415019323,0.04409459934311552,0.11354795726139097,0.019047977406279195,0.10975580750159254,0.01931712077610998,0.17388191820996757,0.16311139651343673,0.0493037832104338,0.06745883108711243,0.05053093810966044,0.021019429078968584
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),0,7,IRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.08875095831732019,0.04759166813172551,0.1192624062509204,0.019360381730899642,0.0963286189625136,0.018169673092750905,0.13159923151238828,0.15970711502696347,0.09814755807971462,0.09315956849563077,0.07593771567764,0.051985104721532185
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.2976251554667522,0.07066630391010902,0.04321170190972695,0.0232297809495363,0.058453068370952654,0.02229249462780668,0.2076861785023818,0.15802299423785104,0.022930838166477393,0.03549024501008802,0.03266334433419952,0.02772789451411824
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.10742089449413773,0.06033884947259826,0.03135969609504206,0.028615483964291297,0.03555801907686333,0.025517632842174492,0.3279099823681458,0.11360509921163534,0.06800744099767368,0.07210547370945729,0.058617528286281126,0.07094389948169985
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),6,8,NIRR|BR16|manha + tarde,NIRR|CD202|manha + tarde,False,0.017480787918243732,0.01756534810866335,0.12472018557922104,0.018170200445767695,0.0857161864042529,0.016093043414148613,0.022710776219784637,0.08256682006638487,0.15976529143301396,0.20107350596641224,0.13156875673553148,0.12256909770857559
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.2414927209508583,0.062485731190894435,0.08556122865096503,0.018586210828954782,0.06563449136023718,0.019068739742703806,0.1799073123473607,0.12777417057732643,0.06560948487544774,0.05283841641085953,0.03233273680970653,0.04870875625468591
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),2,8,IRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,False,0.040302656966837845,0.018165901975611947,0.16554219681456986,0.023083035214538458,0.11422961673304827,0.024163275360220674,0.05932830521694048,0.04030786118260674,0.1656226145690609,0.18592448645808685,0.1240803871161379,0.039249662392339894
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,SVM (RBF),2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.10347998221837926,0.0641815047971137,0.1874602696951643,0.030227038438377325,0.13779539052580403,0.026231585058597292,0.05519583876689553,0.059962267136507666,0.08977850835448849,0.09514802120567582,0.08156360730232973,0.06897598650066696
