target,analysis_source,rank_recurrence,wavelength_nm,frequency,mean_rank,best_rank,min_q,band_column,resolved_wavelength_nm,resolved_exact_match
condicao,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True
condicao,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True
condicao,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True
condicao,cond,4,530,2,3.5,3,1.0323354150563847e-26,band_530,530,True
condicao,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True
condicao_genotipo,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True
condicao_genotipo,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True
condicao_genotipo,gen_cond,3,550,2,2.0,2,1.6087903827791048e-24,band_550,550,True
condicao_genotipo,gen_cond,4,401,2,2.5,1,1.3106927168707852e-28,band_401,401,True
condicao_genotipo,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True
condicao_genotipo_turno,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True
condicao_genotipo_turno,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True
condicao_genotipo_turno,gen_cond,3,550,2,2.0,2,1.6087903827791048e-24,band_550,550,True
condicao_genotipo_turno,gen_cond,4,401,2,2.5,1,1.3106927168707852e-28,band_401,401,True
condicao_genotipo_turno,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True
