target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,analysis_source
condicao,Random Forest,NIRR; IRR,2,144,8,4,5,band_400|band_579|band_1580|band_530|band_739,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9907407407407408,0.005040102351405739,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,5,band_400|band_579|band_1580|band_530|band_739,0.9305555555555556,0.03586095690932795,0.9305555555555556,0.03586095690932795,0.9304051065660972,0.035972097372876474,0.861111111111111,0.07172191381865585,0.992283950617284,0.007347148589035886,cond
condicao,LDA,NIRR; IRR,2,144,8,4,5,band_400|band_579|band_1580|band_530|band_739,0.9166666666666666,0.022680460581325734,0.9166666666666667,0.022680460581325734,0.9163322917192886,0.022612061317062695,0.8333333333333334,0.04536092116265142,0.9922839506172839,0.009596068984659265,cond
condicao,k-NN (k=5),NIRR; IRR,2,144,8,4,5,band_400|band_579|band_1580|band_530|band_739,0.9236111111111112,0.06944444444444442,0.9236111111111112,0.06944444444444446,0.9232934248414124,0.06967045619183777,0.8472222222222222,0.13888888888888884,0.9876543209876543,0.01588831811880708,cond
condicao,XGBoost,NIRR; IRR,2,144,8,4,5,band_400|band_579|band_1580|band_530|band_739,0.9444444444444444,0.03207501495497923,0.9444444444444444,0.03207501495497923,0.9444015444015443,0.032099783306295766,0.888888888888889,0.06415002990995838,0.9915123456790123,0.002955021937519527,cond
condicao_genotipo,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5138888888888888,0.048112522432468836,0.5138888888888888,0.04811252243246879,0.4861625127395251,0.04844913010427116,0.41666666666666674,0.05773502691896258,,,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5486111111111112,0.12081470695092489,0.548611111111111,0.12081470695092489,0.5053904905007847,0.12636796425653699,0.45833333333333337,0.14497764834110985,,,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5486111111111112,0.09453971229936174,0.5486111111111112,0.09453971229936174,0.5119634751213699,0.09571670258333233,0.45833333333333326,0.11344765475923409,,,gen_cond
condicao_genotipo,k-NN (k=5),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5208333333333333,0.12292516710510881,0.5208333333333333,0.1229251671051088,0.4883209139788086,0.14003240270392003,0.425,0.14751020052613056,,,gen_cond
condicao_genotipo,XGBoost,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5416666666666667,0.06612433730132271,0.5416666666666666,0.0661243373013227,0.5115741896991897,0.06903238134203032,0.45,0.07934920476158726,,,gen_cond
