cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.052832603454589844,0.9471673965454102
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.9569091200828552,0.04309087619185448
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.6795861721038818,0.32041385769844055
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.20207369327545166,0.7979263067245483
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9937568306922913,0.006243191193789244
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9770524501800537,0.022947566583752632
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.8929842114448547,0.10701581090688705
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9501038193702698,0.04989618808031082
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.29782795906066895,0.702172040939331
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.12678593397140503,0.873214066028595
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.615568995475769,0.38443100452423096
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.03723698854446411,0.9627630114555359
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9958513975143433,0.00414861086755991
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9552776217460632,0.04472237825393677
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9833559989929199,0.016643978655338287
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,1,NIRR,IRR,False,0.22823888063430786,0.7717611193656921
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.10288888216018677,0.8971111178398132
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.019807398319244385,0.9801926016807556
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.0027358531951904297,0.9972641468048096
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,0,IRR,NIRR,False,0.9608497023582458,0.03915031999349594
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9962770342826843,0.0037229747977107763
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,1,NIRR,IRR,False,0.05385178327560425,0.9461482167243958
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.8949923515319824,0.10500767827033997
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9887521862983704,0.011247800663113594
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.016192257404327393,0.9838077425956726
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.045079171657562256,0.9549208283424377
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.006014108657836914,0.9939858913421631
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,condicao,XGBoost,1,1,IRR,IRR,True,0.00264054536819458,0.9973594546318054
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9947261214256287,0.005273856688290834
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9944177865982056,0.005582212004810572
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,condicao,XGBoost,0,0,NIRR,NIRR,True,0.9043298959732056,0.09567008912563324
