cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.7098473906517029,0.09114914387464523,0.1310577243566513,0.050608716905117035,0.005693370942026377,0.011643698439002037
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,3,IRR|BR16,NIRR|BR16,False,0.281151682138443,0.020681949332356453,0.019608259201049805,0.618637204170227,0.034988563507795334,0.024932291358709335
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.9345338940620422,0.006419092882424593,0.019322941079735756,0.033067911863327026,0.0028257789090275764,0.003830338828265667
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,0,3,IRR|BR16,NIRR|BR16,False,0.16298840939998627,0.06252072751522064,0.2563594579696655,0.38710305094718933,0.025253362953662872,0.10577497631311417
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.25756171345710754,0.011139859445393085,0.03871705010533333,0.6501511335372925,0.03242998942732811,0.010000277310609818
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.008137795142829418,0.0013859592145308852,0.0012044316390529275,0.5372761487960815,0.449955016374588,0.002040657214820385
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,4,NIRR|BR16,NIRR|CD202,False,0.010438298806548119,0.02169831655919552,0.04613379389047623,0.07863876223564148,0.7527163028717041,0.09037446975708008
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.12145800143480301,0.08469109982252121,0.01837844029068947,0.7413612008094788,0.009023293852806091,0.025087997317314148
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,3,IRR|CD202,NIRR|BR16,False,0.024678705260157585,0.31456485390663147,0.17689462006092072,0.3756439983844757,0.057916298508644104,0.05030156672000885
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo,XGBoost,1,5,IRR|CD202,NIRR|EMB48,False,0.037528183311223984,0.15023639798164368,0.3150827884674072,0.03367914631962776,0.11143898963928223,0.35203447937965393
