target,model,classe,classe_codigo,precision,recall,f1,support
condicao_genotipo_turno,k-NN (k=5),IRR|BR16|manha + tarde,0,0.5,0.5833333333333334,0.5384615384615384,12
condicao_genotipo_turno,k-NN (k=5),IRR|BR16|unico,1,0.5,0.4166666666666667,0.45454545454545453,12
condicao_genotipo_turno,k-NN (k=5),IRR|CD202|manha + tarde,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,12
condicao_genotipo_turno,k-NN (k=5),IRR|CD202|unico,3,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
condicao_genotipo_turno,k-NN (k=5),IRR|EMB48|manha + tarde,4,0.35714285714285715,0.4166666666666667,0.38461538461538464,12
condicao_genotipo_turno,k-NN (k=5),IRR|EMB48|unico,5,0.3,0.25,0.2727272727272727,12
condicao_genotipo_turno,k-NN (k=5),NIRR|BR16|manha + tarde,6,0.4,0.5,0.4444444444444444,12
condicao_genotipo_turno,k-NN (k=5),NIRR|BR16|unico,7,0.18181818181818182,0.16666666666666666,0.17391304347826086,12
condicao_genotipo_turno,k-NN (k=5),NIRR|CD202|manha + tarde,8,0.45454545454545453,0.8333333333333334,0.5882352941176471,12
condicao_genotipo_turno,k-NN (k=5),NIRR|CD202|unico,9,0.125,0.08333333333333333,0.1,12
condicao_genotipo_turno,k-NN (k=5),NIRR|EMB48|manha + tarde,10,0.23076923076923078,0.25,0.24,12
condicao_genotipo_turno,k-NN (k=5),NIRR|EMB48|unico,11,0.0,0.0,0.0,12
