cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.6293333333333333,0.05466666666666667,0.050666666666666665,0.0,0.136,0.0013333333333333333,0.11066666666666666,0.012,0.004,0.0,0.0,0.0013333333333333333
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,6,IRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,False,0.12666666666666668,0.006666666666666667,0.0,0.0,0.0013333333333333333,0.0,0.8133333333333334,0.02666666666666667,0.0026666666666666666,0.016,0.0,0.006666666666666667
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,0,IRR|BR16|manha + tarde,IRR|BR16|manha + tarde,True,0.3333333333333333,0.22666666666666666,0.10133333333333333,0.0,0.136,0.0013333333333333333,0.15066666666666667,0.042666666666666665,0.0,0.0026666666666666666,0.005333333333333333,0.0
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,0,4,IRR|BR16|manha + tarde,IRR|EMB48|manha + tarde,False,0.15333333333333332,0.029333333333333333,0.136,0.0,0.432,0.0,0.09466666666666666,0.06533333333333333,0.014666666666666666,0.02666666666666667,0.03866666666666667,0.009333333333333334
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.3293333333333333,0.0,0.004,0.0,0.008,0.0,0.4653333333333333,0.17333333333333334,0.0026666666666666666,0.017333333333333333,0.0,0.0
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,6,NIRR|BR16|manha + tarde,NIRR|BR16|manha + tarde,True,0.029333333333333333,0.0,0.0,0.0,0.0,0.0,0.6026666666666667,0.088,0.18266666666666667,0.096,0.0013333333333333333,0.0
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,2,NIRR|BR16|manha + tarde,IRR|CD202|manha + tarde,False,0.0026666666666666666,0.0,0.288,0.0,0.136,0.0,0.004,0.072,0.27066666666666667,0.036,0.18133333333333335,0.009333333333333334
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,6,0,NIRR|BR16|manha + tarde,IRR|BR16|manha + tarde,False,0.4053333333333333,0.016,0.09333333333333334,0.0,0.07066666666666667,0.0,0.30133333333333334,0.037333333333333336,0.052,0.004,0.0013333333333333333,0.018666666666666668
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,2,2,IRR|CD202|manha + tarde,IRR|CD202|manha + tarde,True,0.03333333333333333,0.0,0.43733333333333335,0.029333333333333333,0.2653333333333333,0.0026666666666666666,0.076,0.0013333333333333333,0.04533333333333334,0.009333333333333334,0.08666666666666667,0.013333333333333334
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,Random Forest,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.04933333333333333,0.0,0.12933333333333333,0.0,0.35333333333333333,0.0026666666666666666,0.02266666666666667,0.004,0.06533333333333333,0.056,0.17466666666666666,0.14266666666666666
