dia,Classe verdadeira,A (EMB48 IRR),B (EMB48 NIRR),C (BR16 IRR),D (BR16 NIRR),E (CD202 IRR),F (CD202 NIRR)
dia2,A (EMB48 IRR),1,1,0,0,2,0
dia2,B (EMB48 NIRR),0,2,1,0,0,1
dia2,C (BR16 IRR),1,0,2,0,0,1
dia2,D (BR16 NIRR),0,0,0,1,0,3
dia2,E (CD202 IRR),1,2,0,0,1,0
dia2,F (CD202 NIRR),0,1,0,0,0,3
dia3,A (EMB48 IRR),2,0,0,0,1,1
dia3,B (EMB48 NIRR),2,2,0,0,0,0
dia3,C (BR16 IRR),1,0,2,1,0,0
dia3,D (BR16 NIRR),1,0,0,3,0,0
dia3,E (CD202 IRR),0,0,1,0,2,1
dia3,F (CD202 NIRR),0,1,0,0,1,2
dia4,A (EMB48 IRR),3,0,0,0,1,0
dia4,B (EMB48 NIRR),0,2,0,0,0,2
dia4,C (BR16 IRR),1,0,2,1,0,0
dia4,D (BR16 NIRR),0,0,0,3,0,1
dia4,E (CD202 IRR),3,0,0,0,0,1
dia4,F (CD202 NIRR),0,2,0,0,0,2
dia5,A (EMB48 IRR),2,0,1,0,1,0
dia5,B (EMB48 NIRR),0,2,0,1,0,1
dia5,C (BR16 IRR),2,0,2,0,0,0
dia5,D (BR16 NIRR),0,2,0,1,0,1
dia5,E (CD202 IRR),2,0,1,0,1,0
dia5,F (CD202 NIRR),0,2,0,0,0,2
dia6,A (EMB48 IRR),2,0,1,0,1,0
dia6,B (EMB48 NIRR),0,3,0,1,0,0
dia6,C (BR16 IRR),1,0,1,0,2,0
dia6,D (BR16 NIRR),0,1,0,2,0,1
dia6,E (CD202 IRR),2,0,2,0,0,0
dia6,F (CD202 NIRR),0,0,0,0,0,4
dia9,A (EMB48 IRR),2,1,1,0,0,0
dia9,B (EMB48 NIRR),0,2,0,0,0,2
dia9,C (BR16 IRR),1,0,2,1,0,0
dia9,D (BR16 NIRR),0,0,2,2,0,0
dia9,E (CD202 IRR),0,0,2,0,0,2
dia9,F (CD202 NIRR),0,1,0,0,2,1
