cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.6149740500299384,0.3850259499700615
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,1,IRR,NIRR,False,0.32344113913483613,0.6765588608651638
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.7369925016422098,0.2630074983577902
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.7583191175225954,0.24168088247740488
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.2429627626354504,0.7570372373645494
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,0,NIRR,IRR,False,0.5583467263237609,0.44165327367623913
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.3761249472866626,0.6238750527133373
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.1625274201322101,0.8374725798677898
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8306239761432623,0.16937602385673772
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.791381867722975,0.20861813227702483
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.9115137446595587,0.08848625534044116
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8443961530837878,0.15560384691621207
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.22500725348476344,0.7749927465152366
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.3350565704727833,0.6649434295272167
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.20480714426045968,0.7951928557395406
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.2434916211640551,0.7565083788359448
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8254435969325603,0.17455640306743947
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8335022421899989,0.1664977578100009
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.9247131155728198,0.0752868844271802
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.5,0.5
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.11986276710486636,0.8801372328951336
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,0,NIRR,IRR,False,0.9357256424566963,0.06427435754330364
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.3304296250125491,0.6695703749874511
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.11324442194030798,0.886755578059692
