cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
BR16,IRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.7453333333333333,0.25466666666666665
BR16,IRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.5146666666666667,0.48533333333333334
BR16,IRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
BR16,NIRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
BR16,NIRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
BR16,NIRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.15466666666666667,0.8453333333333334
BR16,NIRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
CD202,IRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.996,0.004
CD202,IRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.9986666666666667,0.0013333333333333333
CD202,IRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
CD202,IRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
CD202,NIRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.416,0.584
CD202,NIRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
CD202,NIRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
CD202,NIRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.06133333333333333,0.9386666666666666
EMB48,IRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.9973333333333333,0.0026666666666666666
EMB48,IRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,0.9986666666666667,0.0013333333333333333
EMB48,IRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
EMB48,IRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,0,0,IRR,IRR,True,1.0,0.0
EMB48,NIRR,2017-02-26,dia5,1,B1,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0013333333333333333,0.9986666666666667
EMB48,NIRR,2017-02-26,dia5,2,B2,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
EMB48,NIRR,2017-02-26,dia5,3,B3,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
EMB48,NIRR,2017-02-26,dia5,4,B4,unico,unico,cond,Random Forest,1,1,NIRR,NIRR,True,0.0,1.0
