cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,0,1,IRR,NIRR,False,0.3594483733177185,0.6405516266822815
BR16,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.876350998878479,0.12364902347326279
BR16,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8739440441131592,0.12605597078800201
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8766563534736633,0.12334366887807846
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12279617786407471,0.8772038221359253
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.14311200380325317,0.8568879961967468
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12320929765701294,0.8767907023429871
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.1232384443283081,0.8767615556716919
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8732213377952576,0.12677866220474243
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.876350998878479,0.12364902347326279
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8759818077087402,0.12401821464300156
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8671574592590332,0.1328425258398056
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.32369112968444824,0.6763088703155518
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12391799688339233,0.8760820031166077
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12320929765701294,0.8767907023429871
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.1232384443283081,0.8767615556716919
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8766270875930786,0.123372882604599
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.876350998878479,0.12364902347326279
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8759818077087402,0.12401821464300156
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,0,0,IRR,IRR,True,0.8766563534736633,0.12334366887807846
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.1457342505455017,0.8542657494544983
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12391799688339233,0.8760820031166077
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.12661123275756836,0.8733887672424316
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,XGBoost,1,1,NIRR,NIRR,True,0.14490485191345215,0.8550951480865479
