cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
BR16,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
BR16,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),0,0,IRR,IRR,True,1.0,0.0
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,k-NN (k=5),1,1,NIRR,NIRR,True,0.0,1.0
