cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,1,IRR,NIRR,False,0.43631485184148233,0.5636851481585177
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9054750909927185,0.09452490900728153
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9879410396008415,0.0120589603991585
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9998640802020294,0.000135919797970562
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,2.9161642423058964e-05,0.9999708383575769
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0007883910057392418,0.9992116089942608
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0065552237427444204,0.9934447762572556
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.006790174491661416,0.9932098255083386
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9999999999975976,2.4024480035275164e-12
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9735196956692976,0.02648030433070239
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9993648798369353,0.0006351201630646597
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,1,IRR,NIRR,False,0.24286264964658266,0.7571373503534173
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.00027366071798040625,0.9997263392820196
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0048271183111285865,0.9951728816888714
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0006335502117238434,0.9993664497882762
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0002312603310623551,0.9997687396689376
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.999998196538537,1.803461462950159e-06
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.848308987860075,0.15169101213992497
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9999925677945928,7.432205407245837e-06
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9874486653233754,0.012551334676624646
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.11207141060867176,0.8879285893913282
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.022751248614997333,0.9772487513850027
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,7.672955159565564e-05,0.9999232704484043
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0003278466860451301,0.9996721533139549
