cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,1,IRR,NIRR,False,0.028686363541760573,0.9713136364582394
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.6756288341616927,0.3243711658383072
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9783979538005693,0.021602046199430767
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9998218379413465,0.00017816205865348338
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,4.6780906653109966e-05,0.9999532190933469
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0008556049508122721,0.9991443950491877
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0021750005678764506,0.9978249994321235
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0032735498946940833,0.9967264501053059
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9999999999924372,7.562792488565413e-12
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9456520541286546,0.0543479458713454
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9988129381760262,0.001187061823973743
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,1,IRR,NIRR,False,0.22583643531806152,0.7741635646819385
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0006951762533977668,0.9993048237466022
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.014548547252533628,0.9854514527474664
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.001693755413245901,0.9983062445867541
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0018470070966319918,0.998152992903368
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9999991962308997,8.037691002807767e-07
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.7393728066041229,0.26062719339587714
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9999948414070807,5.158592919256753e-06
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,0,0,IRR,IRR,True,0.9630048249803563,0.03699517501964366
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.07450365379492174,0.9254963462050783
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.07176425822686328,0.9282357417731367
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,7.676784060006714e-05,0.9999232321593999
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,LDA,1,1,NIRR,NIRR,True,0.0018689888269826094,0.9981310111730174
