cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,1,IRR,NIRR,False,0.33354997828236477,0.6664500217176355
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.7873074967322474,0.2126925032677527
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8342661870566901,0.16573381294331005
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.974613983751154,0.025386016248845827
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.3023008793546894,0.6976991206453107
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.10660297583269854,0.8933970241673014
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.14677155920237114,0.8532284407976289
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.08079031423186574,0.9192096857681342
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.7798177648671745,0.22018223513282545
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8585652264115,0.14143477358850015
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.9063565714289581,0.09364342857104183
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,1,IRR,NIRR,False,0.5057221952724211,0.49427780472757876
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.12666090226522586,0.8733390977347743
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.09936741221711475,0.9006325877828852
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.11335336400581525,0.8866466359941848
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.11119663422990508,0.8888033657700947
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.9381415950150608,0.06185840498493898
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.7909532298008484,0.20904677019915152
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.8007958889343118,0.19920411106568844
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),0,0,IRR,IRR,True,0.914769362760757,0.08523063723924293
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.46120068784639484,0.5387993121536051
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.22984313461371159,0.7701568653862881
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.10503832745040613,0.8949616725495939
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.0641230138308045,0.9358769861691958
