cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.5330501349341006,0.26203141233094557,0.2049184527349539
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.5253632425173322,0.3001536032099205,0.17448315427274733
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.6077782651529285,0.24325909528638312,0.14896263956068856
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),0,1,BR16,CD202,False,0.39264483938154715,0.19461653262738846,0.41273862799106414
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.618886732386633,0.22351840469327927,0.15759486292008754
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.5792184400073429,0.2677591049931377,0.1530224549995191
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),0,1,BR16,CD202,False,0.18338771199596576,0.44264858361020387,0.37396370439383025
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.5673579698631787,0.1675181820580978,0.26512384807872363
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.09121799036721213,0.4526171283771766,0.4561648812556112
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.11031736085004241,0.37423070980667755,0.5154519293432799
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),1,2,CD202,EMB48,False,0.1589023861451219,0.5202796302091117,0.32081798364576597
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.1648462143271011,0.3390767980881054,0.49607698758479335
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.16907115448075996,0.43568340323126054,0.39524544228797914
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),1,0,CD202,BR16,False,0.4458272098405246,0.20456661300609535,0.34960617715338005
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.2762793642443053,0.3582429006496096,0.3654777351060852
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),1,2,CD202,EMB48,False,0.18631835864997567,0.42440055825738826,0.38928108309263604
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),2,1,EMB48,CD202,False,0.11243531237439314,0.24555771273602245,0.6420069748895844
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),2,1,EMB48,CD202,False,0.11595281724452264,0.44054267334934505,0.4435045094061323
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.2414561531813392,0.39048653039381004,0.368057316424851
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),2,1,EMB48,CD202,False,0.201546835563194,0.22933208129277985,0.5691210831440262
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.15525855706823874,0.5970091301917446,0.24773231274001636
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),2,1,EMB48,CD202,False,0.16914387904562797,0.4469418346549166,0.3839142862994555
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.26476867968001955,0.4763493279544461,0.2588819923655345
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.20398536330060135,0.48511082974616504,0.3109038069532333
