cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.8682815432548523,0.09223918616771698,0.039479292929172516
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.859518826007843,0.052017953246831894,0.088463194668293
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.9657937288284302,0.012708945199847221,0.021497299894690514
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.9238689541816711,0.010092838667333126,0.06603827327489853
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.9595205187797546,0.03301454707980156,0.007464921101927757
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.7820558547973633,0.18061257898807526,0.03733159601688385
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,0,1,BR16,CD202,False,0.10178407281637192,0.8300672173500061,0.0681486576795578
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,0,0,BR16,BR16,True,0.9745128750801086,0.01064040046185255,0.01484674122184515
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,1,1,CD202,CD202,True,0.047919098287820816,0.7689985036849976,0.18308240175247192
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,1,1,CD202,CD202,True,0.007495755795389414,0.8552829027175903,0.1372213065624237
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,1,1,CD202,CD202,True,0.09109572321176529,0.4821084439754486,0.4267958104610443
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,1,2,CD202,EMB48,False,0.02812909707427025,0.20421382784843445,0.7676571011543274
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,1,2,CD202,EMB48,False,0.10535277426242828,0.2517215311527252,0.6429257392883301
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,1,0,CD202,BR16,False,0.9002460837364197,0.06762836128473282,0.03212558105587959
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,1,0,CD202,BR16,False,0.7996915578842163,0.0806477814912796,0.11966061592102051
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,1,2,CD202,EMB48,False,0.08519690483808517,0.13633808493614197,0.7784649729728699
EMB48,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,2,1,EMB48,CD202,False,0.0041016158647835255,0.822939932346344,0.1729583889245987
EMB48,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,2,1,EMB48,CD202,False,0.12234573066234589,0.5425227880477905,0.3351314961910248
EMB48,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,2,0,EMB48,BR16,False,0.8822680115699768,0.04221108555793762,0.07552091777324677
EMB48,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,2,2,EMB48,EMB48,True,0.024486618116497993,0.19914855062961578,0.776364803314209
EMB48,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,gen,XGBoost,2,1,EMB48,CD202,False,0.0550294890999794,0.6358394026756287,0.30913111567497253
EMB48,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,gen,XGBoost,2,1,EMB48,CD202,False,0.07690218836069107,0.8488522171974182,0.07424554973840714
EMB48,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,gen,XGBoost,2,2,EMB48,EMB48,True,0.012640918605029583,0.19157162308692932,0.7957874536514282
EMB48,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,gen,XGBoost,2,2,EMB48,EMB48,True,0.08894731849431992,0.11189405620098114,0.7991585731506348
