cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.991449370761703,0.005943866317606455,0.002606762920690379
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.9243521711459809,0.06311052900426817,0.012537299849750928
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.9982595279228168,0.0015962358840211762,0.00014423619316204938
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,0,2,BR16,EMB48,False,0.02027988722749406,0.4572541415464663,0.5224659712260395
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.9925733694147514,0.005445416457823085,0.001981214127425683
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.9616950936671848,0.03271341965984774,0.005591486672967571
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.8954673952485268,0.0943000318694535,0.010232572882019801
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,0,0,BR16,BR16,True,0.9973614808133824,0.00212477579093829,0.0005137433956794197
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,1,1,CD202,CD202,True,0.0436488983755222,0.6167875142099745,0.33956358741450327
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,1,2,CD202,EMB48,False,3.530834313482636e-05,0.39278002956758806,0.6071846620892771
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,1,2,CD202,EMB48,False,0.0003431210330811968,0.36688540282934085,0.6327714761375779
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,1,2,CD202,EMB48,False,0.06039776609143579,0.4582422882944198,0.48135994561414436
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,1,1,CD202,CD202,True,0.2707379794943733,0.5972765808076685,0.13198543969795812
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,1,1,CD202,CD202,True,0.0028284200043124617,0.5875410208714733,0.4096305591242142
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,1,1,CD202,CD202,True,0.04338438852592996,0.5214569448087143,0.43515866666535563
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,1,1,CD202,CD202,True,0.11906332196769293,0.4713422346151126,0.40959444341719453
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,2,1,EMB48,CD202,False,0.012274229112583085,0.5574874556853973,0.43023831520201966
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,2,1,EMB48,CD202,False,0.0009570477982318046,0.6263823303685508,0.37266062183321724
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,2,1,EMB48,CD202,False,0.008346077671465517,0.5261286855803483,0.46552523674818624
EMB48,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,2,2,EMB48,EMB48,True,0.039873427422375735,0.4059110042466255,0.5542155683309987
EMB48,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,LDA,2,2,EMB48,EMB48,True,0.0011672617510249035,0.32035051843451884,0.6784822198144563
EMB48,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,LDA,2,0,EMB48,BR16,False,0.8111354778958574,0.15972280010696724,0.029141721997175452
EMB48,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,LDA,2,2,EMB48,EMB48,True,3.395906824178571e-08,0.17493959341146864,0.8250603726294632
EMB48,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,LDA,2,2,EMB48,EMB48,True,0.0016649995107637652,0.33892261303101723,0.659412387458219
