cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.7252550718845338,0.06703480497044075,0.20771012314502554
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.6255563247554039,0.17725648870236713,0.1971871865422294
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.7606136722580895,0.14158547870599877,0.09780084903591181
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),0,2,BR16,EMB48,False,0.0886867303347241,0.4847384652344456,0.42657480443083046
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.6852547509559656,0.10453894363317957,0.21020630541085486
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.6404178042083813,0.1720064530475056,0.18757574274411323
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.5826308820994195,0.2372481097936798,0.1801210081069006
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),0,0,BR16,BR16,True,0.7282721945958853,0.10679004900747086,0.16493775639664363
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.1396250640700299,0.5058160910584317,0.3545588448715384
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),1,2,CD202,EMB48,False,0.03448011007613287,0.5125108468512639,0.4530090430726035
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),1,2,CD202,EMB48,False,0.127055169165303,0.4432645882710109,0.4296802425636865
CD202,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),1,2,CD202,EMB48,False,0.26890377789618414,0.13201499664361113,0.5990812254602048
CD202,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.2719984121839069,0.46039690932868854,0.2676046784874045
CD202,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.05625687578311302,0.43137209820783257,0.5123710260090543
CD202,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.18657539312892138,0.39795206832668023,0.4154725385443984
CD202,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),1,1,CD202,CD202,True,0.2069099594956062,0.5136667057119838,0.27942333479240977
EMB48,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.10037017247263243,0.4716418786542508,0.427987948873117
EMB48,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.14674486753175922,0.409266363007306,0.4439887694609351
EMB48,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.07594877258538942,0.4993123933739232,0.4247388340406875
EMB48,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.19680238905776853,0.1931726695569866,0.6100249413852451
EMB48,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.2411371807867757,0.3501438686578246,0.40871895055539936
EMB48,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen,SVM (RBF),2,0,EMB48,BR16,False,0.4821934969536298,0.32429125187508295,0.19351525117128707
EMB48,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen,SVM (RBF),2,2,EMB48,EMB48,True,0.13090820453289767,0.44063739304247446,0.4284544024246282
EMB48,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen,SVM (RBF),2,1,EMB48,CD202,False,0.11583890885684997,0.6286164650710006,0.2555446260721495
