cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.9143013156325496,0.02430756977942601,0.06139111458802457
BR16,IRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,0,1,BR16,CD202,False,0.45553664372949515,0.48558389926702955,0.05887945700347518
BR16,IRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.9949667076495878,0.004504473409883635,0.0005288189405286029
BR16,IRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,0,1,BR16,CD202,False,0.06288274565311612,0.5051703940259102,0.43194686032097357
BR16,NIRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.9994891555855794,0.0002874100245641173,0.00022343438985640877
BR16,NIRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.9450114366793518,0.04990010927261304,0.005088454048035033
BR16,NIRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.8390261754825327,0.12430407051654409,0.036669754000923156
BR16,NIRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,0,0,BR16,BR16,True,0.9599110602710985,0.023155731988041182,0.016933207740860254
CD202,IRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,1,1,CD202,CD202,True,0.0030753719098623104,0.5006228158069314,0.49630181228320625
CD202,IRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,1,2,CD202,EMB48,False,0.0017286970017834716,0.4576629562943461,0.5406083467038704
CD202,IRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,1,2,CD202,EMB48,False,1.1704989610891394e-06,0.1473350687531419,0.852663760747897
CD202,IRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,1,1,CD202,CD202,True,0.022236350523068292,0.7287499430487655,0.24901370642816634
CD202,NIRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,1,1,CD202,CD202,True,0.05696855802549105,0.6191567556329769,0.323874686341532
CD202,NIRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,1,0,CD202,BR16,False,0.6373222565875085,0.17128464051223066,0.19139310290026082
CD202,NIRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,1,2,CD202,EMB48,False,0.15147373787850388,0.32444375961596694,0.5240825025055291
CD202,NIRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,1,2,CD202,EMB48,False,0.23059407123754397,0.3826521796643364,0.38675374909811966
EMB48,IRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,2,2,EMB48,EMB48,True,0.00025501042169261937,0.31240129531602145,0.687343694262286
EMB48,IRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,2,1,EMB48,CD202,False,0.0052189745038434855,0.49904696157665146,0.49573406391950503
EMB48,IRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,2,2,EMB48,EMB48,True,0.0014544957066623615,0.4602801658671135,0.5382653384262241
EMB48,IRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,2,1,EMB48,CD202,False,0.0035131791790912943,0.6689351532578407,0.3275516675630679
EMB48,NIRR,2017-02-25,dia4,1,B1,unico,unico,gen,LDA,2,2,EMB48,EMB48,True,0.20286800996243434,0.1477200066482152,0.6494119833893505
EMB48,NIRR,2017-02-25,dia4,2,B2,unico,unico,gen,LDA,2,1,EMB48,CD202,False,0.10037417938069175,0.71207265717741,0.18755316344189832
EMB48,NIRR,2017-02-25,dia4,3,B3,unico,unico,gen,LDA,2,1,EMB48,CD202,False,1.4611000078456903e-07,0.687786666417244,0.31221318747275517
EMB48,NIRR,2017-02-25,dia4,4,B4,unico,unico,gen,LDA,2,1,EMB48,CD202,False,0.03444729859292087,0.6848345325364424,0.2807181688706366
