cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,0,2,BR16,EMB48,False,0.37866666666666665,0.23066666666666666,0.39066666666666666
BR16,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,0,1,BR16,CD202,False,0.24666666666666667,0.5866666666666667,0.16666666666666666
BR16,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,0,1,BR16,CD202,False,0.43466666666666665,0.544,0.021333333333333333
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,0,1,BR16,CD202,False,0.22666666666666666,0.5546666666666666,0.21866666666666668
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,0,0,BR16,BR16,True,0.5213333333333333,0.268,0.21066666666666667
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,0,1,BR16,CD202,False,0.37466666666666665,0.584,0.04133333333333333
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,0,1,BR16,CD202,False,0.09466666666666666,0.8746666666666667,0.030666666666666665
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,0,0,BR16,BR16,True,0.4746666666666667,0.396,0.12933333333333333
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,1,1,CD202,CD202,True,0.4,0.456,0.144
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,1,2,CD202,EMB48,False,0.05733333333333333,0.4186666666666667,0.524
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,1,2,CD202,EMB48,False,0.06933333333333333,0.296,0.6346666666666667
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,1,0,CD202,BR16,False,0.5506666666666666,0.4226666666666667,0.02666666666666667
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,1,1,CD202,CD202,True,0.244,0.6866666666666666,0.06933333333333333
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,1,0,CD202,BR16,False,0.6853333333333333,0.23866666666666667,0.076
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,1,2,CD202,EMB48,False,0.3333333333333333,0.276,0.39066666666666666
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,1,0,CD202,BR16,False,0.4146666666666667,0.3626666666666667,0.22266666666666668
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,2,2,EMB48,EMB48,True,0.17333333333333334,0.24,0.5866666666666667
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,2,1,EMB48,CD202,False,0.196,0.5293333333333333,0.27466666666666667
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,2,2,EMB48,EMB48,True,0.30933333333333335,0.14133333333333334,0.5493333333333333
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,2,1,EMB48,CD202,False,0.056,0.7493333333333333,0.19466666666666665
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,Random Forest,2,2,EMB48,EMB48,True,0.04533333333333334,0.11466666666666667,0.84
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,Random Forest,2,1,EMB48,CD202,False,0.12133333333333333,0.8333333333333334,0.04533333333333334
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,Random Forest,2,2,EMB48,EMB48,True,0.042666666666666665,0.2,0.7573333333333333
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,Random Forest,2,2,EMB48,EMB48,True,0.05466666666666667,0.12533333333333332,0.82
