cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,0,0,BR16,BR16,True,0.6854413151741028,0.27295342087745667,0.041605301201343536
BR16,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.2875651717185974,0.577363908290863,0.13507091999053955
BR16,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.19464944303035736,0.7915616035461426,0.013788919895887375
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.21110977232456207,0.7267194986343384,0.06217072531580925
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,0,0,BR16,BR16,True,0.520182728767395,0.44101887941360474,0.038798365741968155
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.3246943950653076,0.6607909798622131,0.014514605514705181
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.018297569826245308,0.9724780321121216,0.009224439971148968
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,0,1,BR16,CD202,False,0.45688357949256897,0.5112197399139404,0.03189671412110329
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,1,1,CD202,CD202,True,0.33203136920928955,0.6207247972488403,0.047243814915418625
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,1,1,CD202,CD202,True,0.20502181351184845,0.7348963022232056,0.060081902891397476
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,1,2,CD202,EMB48,False,0.03854434937238693,0.03825235739350319,0.9232032895088196
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,1,0,CD202,BR16,False,0.7142001390457153,0.27593815326690674,0.009861691854894161
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,1,1,CD202,CD202,True,0.03436669707298279,0.9529023170471191,0.012730913236737251
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,1,0,CD202,BR16,False,0.9548593163490295,0.03729105740785599,0.007849695160984993
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,1,1,CD202,CD202,True,0.31507402658462524,0.3715665936470032,0.3133593201637268
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,1,0,CD202,BR16,False,0.520182728767395,0.44101887941360474,0.038798365741968155
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,2,2,EMB48,EMB48,True,0.06358347833156586,0.04178411513566971,0.8946323394775391
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,2,1,EMB48,CD202,False,0.12823784351348877,0.6160340309143066,0.25572818517684937
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,2,0,EMB48,BR16,False,0.7572669982910156,0.17340251803398132,0.06933049857616425
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,2,1,EMB48,CD202,False,0.03252556174993515,0.8767489790916443,0.09072542935609818
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,gen,XGBoost,2,2,EMB48,EMB48,True,0.0040413080714643,0.030455950647592545,0.9655026793479919
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,gen,XGBoost,2,1,EMB48,CD202,False,0.12632696330547333,0.8337031006813049,0.039969973266124725
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,gen,XGBoost,2,2,EMB48,EMB48,True,0.011994153261184692,0.04886952415108681,0.9391363263130188
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,gen,XGBoost,2,2,EMB48,EMB48,True,0.025285085663199425,0.01975827105343342,0.954956591129303
