cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_BR16,prob_CD202,prob_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.8,0.0,0.2
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.4,0.2,0.4
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),0,1,BR16,CD202,False,0.2,0.6,0.2
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),0,1,BR16,CD202,False,0.2,0.4,0.4
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.4,0.4,0.2
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.8,0.0,0.2
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.8,0.0,0.2
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),0,0,BR16,BR16,True,0.8,0.2,0.0
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),1,2,CD202,EMB48,False,0.2,0.2,0.6
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),1,0,CD202,BR16,False,0.4,0.2,0.4
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),1,0,CD202,BR16,False,0.4,0.2,0.4
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),1,0,CD202,BR16,False,0.4,0.2,0.4
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),1,2,CD202,EMB48,False,0.0,0.4,0.6
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),1,2,CD202,EMB48,False,0.0,0.4,0.6
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),1,0,CD202,BR16,False,0.4,0.4,0.2
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),1,2,CD202,EMB48,False,0.0,0.4,0.6
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),2,0,EMB48,BR16,False,0.4,0.4,0.2
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),2,0,EMB48,BR16,False,0.4,0.2,0.4
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),2,1,EMB48,CD202,False,0.2,0.4,0.4
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),2,0,EMB48,BR16,False,0.4,0.2,0.4
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen,k-NN (k=5),2,1,EMB48,CD202,False,0.2,0.4,0.4
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen,k-NN (k=5),2,1,EMB48,CD202,False,0.0,0.6,0.4
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen,k-NN (k=5),2,2,EMB48,EMB48,True,0.0,0.4,0.6
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen,k-NN (k=5),2,2,EMB48,EMB48,True,0.0,0.4,0.6
