cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.9999977283116601,6.202671493848529e-13,5.736301129458555e-08,2.214315360303703e-06,9.34800605272101e-12,3.6683317267152985e-54
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.9480256942547526,9.296687444053232e-05,0.00205093140172653,0.04925066430673687,0.0005772896270657812,2.453535277464703e-06
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.8102461431343643,8.105032239159824e-08,0.0005288596743124449,0.17891787033742423,0.010259831906428814,4.721389714785356e-05
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen_cond,LDA,0,2,IRR|BR16,IRR|EMB48,False,1.7345676462571906e-05,0.01399926385184435,0.9859833302077442,3.066565415118179e-17,5.3667953568117964e-08,6.595995411321608e-09
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,5.379034163013401e-09,1.7611560632092494e-15,9.96545412941259e-13,0.9999999447816789,4.9838288515509365e-08,2.260626581137523e-19
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,8.192013259201002e-05,8.956550890042814e-13,1.0218336706911197e-08,0.959439749058999,0.035832715010175334,0.00464560557900121
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen_cond,LDA,3,0,NIRR|BR16,IRR|BR16,False,0.6234769760354374,1.2140248016269296e-05,0.001298288236872905,0.00023891451478814103,0.35313287535071797,0.02184080561416728
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,0.005224870859911974,7.505709926462586e-09,6.844552908918211e-07,0.9944499761124326,0.00030440315521194764,2.0057911442746747e-05
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,LDA,1,4,IRR|CD202,NIRR|CD202,False,0.056816230042796595,0.04831415654910916,0.022289360325463373,4.921139838708972e-05,0.839855731319016,0.032675310365227556
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,LDA,1,2,IRR|CD202,IRR|EMB48,False,2.2385414013411117e-09,0.39530495418984096,0.6046949811290515,6.681266773639954e-22,6.061696179848271e-08,1.825604330730237e-09
CD202,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen_cond,LDA,1,1,IRR|CD202,IRR|CD202,True,6.364010853333782e-09,0.9487680056461404,0.049288068033035884,2.0731871266624287e-11,0.0017672175010314682,0.00017670243504957367
