cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.8515867590904236,0.011838685721158981,0.013210000470280647,0.08127462863922119,0.025527210906147957,0.016562780365347862
BR16,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.7691855430603027,0.017686769366264343,0.12721030414104462,0.053684402257204056,0.01474844478070736,0.017484605312347412
BR16,IRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,0,0,IRR|BR16,IRR|BR16,True,0.7829424142837524,0.018464546650648117,0.017516477033495903,0.1099620908498764,0.013213305734097958,0.05790111795067787
BR16,IRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,0,2,IRR|BR16,IRR|EMB48,False,0.26362210512161255,0.0973941758275032,0.5947037935256958,0.01716807298362255,0.015233049169182777,0.01187883410602808
BR16,NIRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.055207159370183945,0.010710799135267735,0.020776692777872086,0.7472834587097168,0.054339561611413956,0.11168234795331955
BR16,NIRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.03311935439705849,0.030965445563197136,0.029411323368549347,0.5134290456771851,0.07380393147468567,0.3192708492279053
BR16,NIRR,2017-02-24,dia3,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,3,5,NIRR|BR16,NIRR|EMB48,False,0.2280089408159256,0.04922272637486458,0.09012330323457718,0.14403501152992249,0.09551423043012619,0.39309582114219666
BR16,NIRR,2017-02-24,dia3,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.07374386489391327,0.01771891489624977,0.03215847909450531,0.7451326251029968,0.029722334817051888,0.101523756980896
CD202,IRR,2017-02-24,dia3,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,1,4,IRR|CD202,NIRR|CD202,False,0.11935029178857803,0.24257825314998627,0.11196775734424591,0.04686538875102997,0.3231761157512665,0.15606217086315155
CD202,IRR,2017-02-24,dia3,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,1,1,IRR|CD202,IRR|CD202,True,0.006657235790044069,0.7499257922172546,0.2239733636379242,0.004194098059087992,0.004688958637416363,0.01056050043553114
