cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-02-25,dia4,1,B1,unico,unico,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.9999975003911916,6.068039772919489e-07,1.756787434312676e-06,1.1266749546918324e-07,2.334990059159145e-08,8.52080628902587e-16
BR16,IRR,2017-02-25,dia4,2,B2,unico,unico,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.8647897901890955,0.13438898625375048,7.665765045858551e-05,0.0007320166640910642,1.1221903219434612e-05,1.3273393851123848e-06
BR16,IRR,2017-02-25,dia4,3,B3,unico,unico,gen_cond,LDA,0,0,IRR|BR16,IRR|BR16,True,0.6515324909182075,5.842835151127225e-09,8.619386144793137e-10,0.2839954874226397,0.06421195595988555,0.00026005899449350396
BR16,IRR,2017-02-25,dia4,4,B4,unico,unico,gen_cond,LDA,0,1,IRR|BR16,IRR|CD202,False,0.09725339686567173,0.5979634147056958,0.3047831416145629,8.113530476426129e-17,3.439217703871303e-08,1.242189229035609e-08
BR16,NIRR,2017-02-25,dia4,1,B1,unico,unico,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,2.3102932309361718e-08,2.0563625150604294e-23,1.2237055723765326e-25,0.9999997224108763,2.5446073701032956e-07,2.5454433411964486e-11
BR16,NIRR,2017-02-25,dia4,2,B2,unico,unico,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,2.6014932710560463e-06,2.158558976266414e-14,8.655908609502434e-16,0.8991514158695785,0.10006095471374121,0.000785027923387065
BR16,NIRR,2017-02-25,dia4,3,B3,unico,unico,gen_cond,LDA,3,4,NIRR|BR16,NIRR|CD202,False,0.0010892998543707666,7.582013477975185e-16,2.1486322854881512e-16,0.009705239075132821,0.8790390089376982,0.11016645213279715
BR16,NIRR,2017-02-25,dia4,4,B4,unico,unico,gen_cond,LDA,3,3,NIRR|BR16,NIRR|BR16,True,3.0584425612804896e-08,3.456622600492249e-16,1.982463218538829e-22,0.9997135889382248,0.00022031379141165786,6.606668593755486e-05
CD202,IRR,2017-02-25,dia4,1,B1,unico,unico,gen_cond,LDA,1,1,IRR|CD202,IRR|CD202,True,0.0019326351495540812,0.6405138059823313,0.35755352569311594,1.7630972197954644e-17,3.139994331073235e-08,1.7750554066396916e-09
CD202,IRR,2017-02-25,dia4,2,B2,unico,unico,gen_cond,LDA,1,1,IRR|CD202,IRR|CD202,True,1.840374504747412e-06,0.5738234458421955,0.42616441409969497,2.9054323597150023e-22,6.396371242445464e-06,3.903312362441424e-06
CD202,IRR,2017-02-25,dia4,3,B3,unico,unico,gen_cond,LDA,1,2,IRR|CD202,IRR|EMB48,False,2.288989608792458e-09,0.056980587056790856,0.943019410653537,2.124903707326571e-22,5.392236636688812e-13,1.4325241894886384e-13
CD202,IRR,2017-02-25,dia4,4,B4,unico,unico,gen_cond,LDA,1,2,IRR|CD202,IRR|EMB48,False,0.02088613772060344,0.1889087224339433,0.7902051013788056,1.2287830908312638e-12,3.846541860027699e-08,3.957069202901597e-16
CD202,NIRR,2017-02-25,dia4,1,B1,unico,unico,gen_cond,LDA,4,4,NIRR|CD202,NIRR|CD202,True,2.43270331963038e-06,1.3117503090565375e-07,4.661714770709627e-09,4.414489026085122e-06,0.8971613605934254,0.10283165637748311
CD202,NIRR,2017-02-25,dia4,2,B2,unico,unico,gen_cond,LDA,4,4,NIRR|CD202,NIRR|CD202,True,0.00015186152400233584,0.0008400446963696269,6.811177632899014e-09,0.11193101738411712,0.6318659422253325,0.2552111273590006
