cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,0,3,IRR|BR16,NIRR|BR16,False,0.24533333333333332,0.0026666666666666666,0.22133333333333333,0.4693333333333333,0.025333333333333333,0.036
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.33066666666666666,0.05733333333333333,0.544,0.02666666666666667,0.032,0.009333333333333334
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.43733333333333335,0.18533333333333332,0.32266666666666666,0.02,0.016,0.018666666666666668
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.252,0.08,0.6386666666666667,0.010666666666666666,0.008,0.010666666666666666
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,3,4,NIRR|BR16,NIRR|CD202,False,0.02266666666666667,0.006666666666666667,0.03333333333333333,0.3253333333333333,0.38133333333333336,0.23066666666666666
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.12266666666666666,0.0,0.036,0.6613333333333333,0.088,0.092
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.19466666666666665,0.16133333333333333,0.13066666666666665,0.416,0.0,0.09733333333333333
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.144,0.07866666666666666,0.04,0.5706666666666667,0.004,0.16266666666666665
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,1,2,IRR|CD202,IRR|EMB48,False,0.19866666666666666,0.192,0.576,0.013333333333333334,0.005333333333333333,0.014666666666666666
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.18533333333333332,0.4866666666666667,0.30666666666666664,0.010666666666666666,0.005333333333333333,0.005333333333333333
