cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,3,IRR|BR16,NIRR|BR16,False,0.14086798404170234,0.17897289535042735,0.1318902206571927,0.41155165404179367,0.06695842993618861,0.06975881597269519
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,0,IRR|BR16,IRR|BR16,True,0.18212255433352215,0.21964033355486287,0.2995639196542117,0.15992647098681603,0.06901227334630679,0.0697344481242806
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,1,IRR|BR16,IRR|CD202,False,0.16449264252938617,0.29132737074071396,0.383611370155175,0.049495014621722275,0.0631152587422677,0.04795834321073484
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,1,IRR|BR16,IRR|CD202,False,0.2797615671417116,0.3726483387205849,0.19810505739934667,0.04706123541832337,0.058439225570868655,0.04398457574916492
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.12472429355112408,0.15878738565500072,0.11795465061777609,0.18901025885647613,0.17778316181780407,0.23174024950181857
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.24916442058447252,0.12597745813599667,0.13160483778003476,0.192465392217491,0.17238397948822065,0.1284039117937843
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.19158594469269008,0.1492744280606924,0.19912246308765572,0.31432480452121686,0.0838354783351174,0.06185688130262749
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.14399988040644673,0.12103782780612601,0.11552776224625723,0.39404653178105986,0.11400039076044892,0.11138760699966088
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,2,IRR|CD202,IRR|EMB48,False,0.20268676159074486,0.20764432257134874,0.18497294368140477,0.16657725906848922,0.12370682616124357,0.11441188692676914
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,0,IRR|CD202,IRR|BR16,False,0.2907905814873869,0.30362503051821865,0.27713077710379463,0.04308281269577845,0.038182521248398625,0.047188276946423156
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,2,IRR|CD202,IRR|EMB48,False,0.34363921558309196,0.17509656093474446,0.27849415624250234,0.06248950067019941,0.05903992029947034,0.08124064626999164
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,0,IRR|CD202,IRR|BR16,False,0.19822437697845235,0.3003857648768868,0.22363901407261358,0.06236070877004146,0.08290316611476295,0.1324869691872431
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.08782457724680202,0.04435337366163778,0.0650045209960521,0.07618630401982532,0.3148897808578462,0.41174144321783707
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.11471423537736888,0.1395439494899065,0.10694615189772942,0.1527422468520961,0.21120406845272816,0.274849347930171
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.09469375587838881,0.12230612111247412,0.09083434428220669,0.1443035594595035,0.2389377183492895,0.3089245009181373
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,5,NIRR|CD202,NIRR|EMB48,False,0.06704655552130759,0.08293314722205669,0.07838183056871675,0.10147710176503427,0.2761690239199757,0.3939923410029087
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,1,IRR|EMB48,IRR|CD202,False,0.13658963071536387,0.22775817102747695,0.4440308158421592,0.05983211821105265,0.0728055679837994,0.058983696220147944
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,0,IRR|EMB48,IRR|BR16,False,0.22330340851447833,0.2164253138589169,0.3192943895872696,0.09696791780334274,0.07264426350184519,0.07136470673414685
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,1,IRR|EMB48,IRR|CD202,False,0.3067740346947163,0.0914385337292162,0.3617890780105077,0.0619995185137853,0.08001826067080986,0.09798057438096423
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,0,IRR|EMB48,IRR|BR16,False,0.24800260869253807,0.17477047048505653,0.3337467558447954,0.11915734744968909,0.05290002377327793,0.07142279375464339
