cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,0,3,IRR|BR16,NIRR|BR16,False,0.030323423445224762,0.010331078432500362,0.24716462194919586,0.6703677773475647,0.023134995251893997,0.01867806352674961
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,0,2,IRR|BR16,IRR|EMB48,False,0.06209663301706314,0.06653483957052231,0.6384258270263672,0.1909198760986328,0.025414155796170235,0.01660867966711521
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,0,2,IRR|BR16,IRR|EMB48,False,0.1523555964231491,0.1502961367368698,0.5702462196350098,0.046718619763851166,0.04637252166867256,0.03401089832186699
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,0,2,IRR|BR16,IRR|EMB48,False,0.06338827311992645,0.04791032150387764,0.8337454199790955,0.01257922500371933,0.025902846828103065,0.016473928466439247
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.020492607727646828,0.010862305760383606,0.036560848355293274,0.5052293539047241,0.3731462061405182,0.053708676248788834
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.02730078250169754,0.003512224182486534,0.026519743725657463,0.8215518593788147,0.03894684091210365,0.0821685791015625
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.13481976091861725,0.14207391440868378,0.023244282230734825,0.5839526057243347,0.01308838278055191,0.10282103717327118
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,3,3,NIRR|BR16,NIRR|BR16,True,0.055005993694067,0.009933126159012318,0.005582757294178009,0.7984338402748108,0.008254258893430233,0.12279002368450165
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,1,2,IRR|CD202,IRR|EMB48,False,0.12433136254549026,0.12005677819252014,0.7386623620986938,0.004648268688470125,0.007539462298154831,0.004761749878525734
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,1,1,IRR|CD202,IRR|CD202,True,0.11854594200849533,0.45270034670829773,0.3626578152179718,0.017950862646102905,0.025986243039369583,0.022158842533826828
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,1,1,IRR|CD202,IRR|CD202,True,0.038676921278238297,0.8928229212760925,0.029420673847198486,0.008968970738351345,0.018205536529421806,0.01190496888011694
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,1,1,IRR|CD202,IRR|CD202,True,0.04688186198472977,0.4233435392379761,0.21503937244415283,0.11384135484695435,0.09996821731328964,0.10092563927173615
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,4,4,NIRR|CD202,NIRR|CD202,True,0.016735335811972618,0.02605518512427807,0.014909623190760612,0.0237272996455431,0.8301147222518921,0.08845780789852142
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,4,4,NIRR|CD202,NIRR|CD202,True,0.014261847361922264,0.02436845935881138,0.018631745129823685,0.019943222403526306,0.8444201946258545,0.07837451249361038
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,4,5,NIRR|CD202,NIRR|EMB48,False,0.05739087983965874,0.030420590192079544,0.10239101946353912,0.06226648762822151,0.09627699106931686,0.6512540578842163
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,4,5,NIRR|CD202,NIRR|EMB48,False,0.049736905843019485,0.048562224954366684,0.04506918415427208,0.09810593724250793,0.3783515393733978,0.3801741898059845
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,2,0,IRR|EMB48,IRR|BR16,False,0.570553183555603,0.17983144521713257,0.08162151277065277,0.05481338873505592,0.0721350610256195,0.041045401245355606
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,2,0,IRR|EMB48,IRR|BR16,False,0.7730192542076111,0.021444575861096382,0.13802282512187958,0.01866876147687435,0.02636377513408661,0.02248077094554901
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,2,1,IRR|EMB48,IRR|CD202,False,0.21997299790382385,0.613581120967865,0.10367151349782944,0.024673644453287125,0.02027672342956066,0.01782398670911789
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,2,2,IRR|EMB48,IRR|EMB48,True,0.1654345542192459,0.27837663888931274,0.30281272530555725,0.1983727365732193,0.03188228979706764,0.023121029138565063
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,XGBoost,5,1,NIRR|EMB48,IRR|CD202,False,0.02348932810127735,0.39422908425331116,0.28752803802490234,0.07978570461273193,0.024273976683616638,0.19069388508796692
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.038738954812288284,0.020674295723438263,0.025632061064243317,0.10682201385498047,0.03547569364309311,0.7726569771766663
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.050832927227020264,0.021165702491998672,0.012789958156645298,0.05658280476927757,0.08286217600107193,0.7757664918899536
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,XGBoost,5,5,NIRR|EMB48,NIRR|EMB48,True,0.007634059991687536,0.012521213851869106,0.007408407051116228,0.08590870350599289,0.054479144513607025,0.8320484757423401
