cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,0,3,IRR|BR16,NIRR|BR16,False,0.050666666666666665,0.02666666666666667,0.030666666666666665,0.84,0.021333333333333333,0.030666666666666665
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.096,0.15733333333333333,0.43733333333333335,0.2733333333333333,0.021333333333333333,0.014666666666666666
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,0,0,IRR|BR16,IRR|BR16,True,0.43466666666666665,0.20266666666666666,0.14133333333333334,0.09866666666666667,0.017333333333333333,0.10533333333333333
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,0,2,IRR|BR16,IRR|EMB48,False,0.2693333333333333,0.10533333333333333,0.556,0.02266666666666667,0.009333333333333334,0.037333333333333336
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.04666666666666667,0.012,0.025333333333333333,0.5293333333333333,0.2693333333333333,0.11733333333333333
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,3,3,NIRR|BR16,NIRR|BR16,True,0.36666666666666664,0.013333333333333334,0.06666666666666667,0.5226666666666666,0.02,0.010666666666666666
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,3,0,NIRR|BR16,IRR|BR16,False,0.344,0.27066666666666667,0.16533333333333333,0.212,0.0026666666666666666,0.005333333333333333
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,3,0,NIRR|BR16,IRR|BR16,False,0.5,0.09466666666666666,0.02666666666666667,0.34933333333333333,0.014666666666666666,0.014666666666666666
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,1,2,IRR|CD202,IRR|EMB48,False,0.156,0.14266666666666666,0.6613333333333333,0.04,0.0,0.0
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.10933333333333334,0.49466666666666664,0.328,0.05333333333333334,0.004,0.010666666666666666
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.308,0.4533333333333333,0.13866666666666666,0.02,0.03866666666666667,0.04133333333333333
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,1,1,IRR|CD202,IRR|CD202,True,0.2,0.296,0.072,0.184,0.024,0.224
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.004,0.014666666666666666,0.0026666666666666666,0.013333333333333334,0.732,0.23333333333333334
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,4,4,NIRR|CD202,NIRR|CD202,True,0.004,0.006666666666666667,0.005333333333333333,0.025333333333333333,0.8253333333333334,0.13333333333333333
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,4,5,NIRR|CD202,NIRR|EMB48,False,0.11066666666666666,0.021333333333333333,0.04533333333333334,0.036,0.33066666666666666,0.456
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,4,5,NIRR|CD202,NIRR|EMB48,False,0.004,0.017333333333333333,0.009333333333333334,0.03866666666666667,0.16133333333333333,0.7693333333333333
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,2,0,IRR|EMB48,IRR|BR16,False,0.436,0.22,0.256,0.02266666666666667,0.02,0.04533333333333334
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,2,0,IRR|EMB48,IRR|BR16,False,0.5013333333333333,0.016,0.36,0.06133333333333333,0.024,0.037333333333333336
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.18133333333333335,0.5946666666666667,0.192,0.024,0.0,0.008
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,2,1,IRR|EMB48,IRR|CD202,False,0.11066666666666666,0.464,0.38266666666666665,0.028,0.010666666666666666,0.004
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,Random Forest,5,1,NIRR|EMB48,IRR|CD202,False,0.04,0.35333333333333333,0.15733333333333333,0.016,0.08133333333333333,0.352
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,Random Forest,5,5,NIRR|EMB48,NIRR|EMB48,True,0.212,0.029333333333333333,0.04533333333333334,0.018666666666666668,0.10133333333333333,0.5933333333333334
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,Random Forest,5,4,NIRR|EMB48,NIRR|CD202,False,0.07466666666666667,0.06133333333333333,0.021333333333333333,0.006666666666666667,0.5426666666666666,0.29333333333333333
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,Random Forest,5,4,NIRR|EMB48,NIRR|CD202,False,0.013333333333333334,0.034666666666666665,0.006666666666666667,0.014666666666666666,0.6346666666666667,0.296
