cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16,prob_IRR_CD202,prob_IRR_EMB48,prob_NIRR_BR16,prob_NIRR_CD202,prob_NIRR_EMB48
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,3,IRR|BR16,NIRR|BR16,False,0.06276998201056395,0.07245989823154096,0.059919928856006645,0.6782821189141661,0.06077938518953553,0.06578868679818697
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,2,IRR|BR16,IRR|EMB48,False,0.2528782628163011,0.24590292655872656,0.17385320206014454,0.1276878755455406,0.09287738775017716,0.1068003452691101
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,1,IRR|BR16,IRR|CD202,False,0.1805246018727481,0.1399965175573749,0.30642220882984467,0.08738036949415223,0.08582051393372722,0.19985578831215287
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),0,2,IRR|BR16,IRR|EMB48,False,0.18342577470202298,0.34449498708266213,0.24582517758549746,0.07941818688665961,0.07338286244909265,0.07345301129406541
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,5,NIRR|BR16,NIRR|EMB48,False,0.1139135909559269,0.13666767072196107,0.12166091110880047,0.20843444741572684,0.1885987648238424,0.23072461497374216
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.1636993652094525,0.12858575952531956,0.11849492805476229,0.33521804301364744,0.13818068735330208,0.1158212168435162
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,0,NIRR|BR16,IRR|BR16,False,0.1321834402789365,0.1827063159697951,0.16907760171939648,0.3613304002406914,0.09108132773984627,0.0636209140513343
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),3,3,NIRR|BR16,NIRR|BR16,True,0.15181502711460876,0.13973632842747807,0.13652161173123759,0.33206706780462664,0.11597997857200595,0.12387998635004285
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,2,IRR|CD202,IRR|EMB48,False,0.24335975184985228,0.2205341332001709,0.18252256818819454,0.11220773142582541,0.09435845309531149,0.14701736224064557
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,2,IRR|CD202,IRR|EMB48,False,0.18488500711646502,0.38506300735299437,0.17611114470536396,0.1104548180885685,0.07339606394897372,0.07008995878763434
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,1,IRR|CD202,IRR|CD202,True,0.2265615356313453,0.20792449472644484,0.3178539745821901,0.056086965747427005,0.06591296202884454,0.12566006728374834
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),1,5,IRR|CD202,NIRR|EMB48,False,0.159014531574683,0.1908514639493752,0.1724657668187629,0.1489310298118573,0.14840890900437087,0.1803282988409502
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.11620686746360735,0.1155174374357163,0.0836066755158276,0.13181972287649246,0.3286707696784776,0.22417852702987878
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.16026454380342608,0.14192148156834464,0.09353460764603543,0.1578304465144047,0.20257519425467638,0.243873726213113
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,4,NIRR|CD202,NIRR|CD202,True,0.1127632396526676,0.13296171258450082,0.11316191494173143,0.14654585143761306,0.21717865052566518,0.2773886308578219
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),4,5,NIRR|CD202,NIRR|EMB48,False,0.07001145407803591,0.07506216757441155,0.0719908922304318,0.10023538304742682,0.37983972099887137,0.3028603820708224
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,1,IRR|EMB48,IRR|CD202,False,0.17492806186703272,0.14681444032962543,0.32015836991595853,0.05324559677943157,0.0927248803200895,0.21212865078786178
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,0,IRR|EMB48,IRR|BR16,False,0.08933901192988038,0.3523977071013713,0.2060687481697124,0.17341600602061627,0.09766847459961463,0.08111005217880504
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,1,IRR|EMB48,IRR|CD202,False,0.28279287041197493,0.11364981821978401,0.2899150327441984,0.07846009186810889,0.1021375743818006,0.13304461237413318
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),2,2,IRR|EMB48,IRR|EMB48,True,0.30103287440945203,0.17522746702290232,0.25065117152048605,0.10424278894659333,0.06768115263334604,0.10116454546722017
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,gen_cond,SVM (RBF),5,1,NIRR|EMB48,IRR|CD202,False,0.22131743529958292,0.17833849799692747,0.2407058066132889,0.13938795065134924,0.10943881375505247,0.11081149568379874
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,gen_cond,SVM (RBF),5,5,NIRR|EMB48,NIRR|EMB48,True,0.13877862189423942,0.20199390720417118,0.16152350602492296,0.1019164192275286,0.18906932277433647,0.2067182228748015
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,gen_cond,SVM (RBF),5,4,NIRR|EMB48,NIRR|CD202,False,0.15448283356246598,0.14757853541118102,0.08491205217827455,0.09768676946071199,0.283151020922824,0.23218878846454213
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,gen_cond,SVM (RBF),5,4,NIRR|EMB48,NIRR|CD202,False,0.09958048652838401,0.1013896610435518,0.06855696547142497,0.10214965862346825,0.41493718931535567,0.21338603901781536
