target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.875,0.15957118462605635,0.875,0.15957118462605638,0.8633928571428571,0.17829442801507986,0.75,0.31914236925211265,0.9166666666666667,0.16666666666666663,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.7500000000000001,0.28867513459481287,0.75,0.28867513459481287,0.7267857142857141,0.32796916853601354,0.5,0.5773502691896257,0.8333333333333334,0.2644973492052908,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_400|band_1541|band_629|band_1590|band_1349,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D03M_MANHA,cond,03,dia3,M,MANHA,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_1510|band_1347|band_406|band_1580|band_1959,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D03T_TARDE,cond,03,dia3,T,TARDE,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_411|band_579|band_1951|band_1349|band_1634,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D04M_MANHA,cond,04,dia4,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_1536|band_1600|band_530|band_739,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D05M_MANHA,cond,05,dia5,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
gen_cond,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.5416666666666666,0.25,0.5416666666666666,0.25,0.45833333333333337,0.26883761372144394,0.44999999999999996,0.30000000000000004,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
