target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.7500000000000001,0.28867513459481287,0.75,0.28867513459481287,0.7267857142857141,0.32796916853601354,0.5,0.5773502691896257,0.8333333333333334,0.2644973492052907,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.875,0.15957118462605635,0.875,0.15957118462605638,0.8633928571428571,0.17829442801507986,0.75,0.31914236925211265,0.9166666666666667,0.16666666666666663,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.8333333333333334,0.23570226039551584,0.8333333333333333,0.23570226039551584,0.7904761904761904,0.3152941972808923,0.6666666666666667,0.4714045207910317,0.9722222222222222,0.055555555555555525,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,k-NN (k=5),IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.75,0.09622504486493767,0.75,0.09622504486493762,0.7372023809523809,0.10686637607592438,0.5,0.19245008972987526,0.9166666666666666,0.09622504486493767,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_400|band_649|band_510|band_1595|band_1529,0.75,0.28867513459481287,0.75,0.28867513459481287,0.7267857142857143,0.32796916853601354,0.5,0.5773502691896257,0.8333333333333334,0.2644973492052908,TOP5_cond_D02M_MANHA,cond,02,dia2,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.6666666666666666,0.23570226039551584,0.6666666666666666,0.2357022603955158,0.6330357142857143,0.2727937940673003,0.33333333333333337,0.4714045207910317,0.8472222222222222,0.23733343736993143,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.6666666666666667,0.23570226039551587,0.6666666666666665,0.2357022603955158,0.6330357142857143,0.2727937940673003,0.33333333333333337,0.4714045207910317,0.7222222222222222,0.48432210483785265,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.7083333333333333,0.28463752127665554,0.7083333333333333,0.28463752127665554,0.6758928571428571,0.32266132652156043,0.41666666666666674,0.569275042553311,0.9166666666666666,0.16666666666666669,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
cond,k-NN (k=5),IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.6666666666666667,0.3042903097250923,0.6666666666666666,0.3042903097250923,0.6029761904761904,0.36779549491136715,0.33333333333333337,0.6085806194501846,0.8888888888888888,0.15713484026367724,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_1520|band_1580|band_739|band_1951|band_1340,0.7500000000000001,0.28867513459481287,0.75,0.28867513459481287,0.7267857142857141,0.32796916853601354,0.5,0.5773502691896257,0.8333333333333334,0.2644973492052908,TOP5_cond_D02T_TARDE,cond,02,dia2,T,TARDE,cv_grouped,42
