subset_name,subset_kind,ranking_source,selection_policy,selection_cluster_threshold,evaluation_cluster_threshold,requested_k,selection_order,selection_round,band,wavelength_nm,cluster_id
joint_cluster_hard_corr_0p85_top_10,diversified,joint,hard,0.85,0.85,10,1,1,band_381,381,1
joint_cluster_hard_corr_0p85_top_10,diversified,joint,hard,0.85,0.85,10,2,1,band_722,722,2
joint_cluster_hard_corr_0p85_top_10,diversified,joint,hard,0.85,0.85,10,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p85_top_15,diversified,joint,hard,0.85,0.85,15,1,1,band_381,381,1
joint_cluster_hard_corr_0p85_top_15,diversified,joint,hard,0.85,0.85,15,2,1,band_722,722,2
joint_cluster_hard_corr_0p85_top_15,diversified,joint,hard,0.85,0.85,15,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p85_top_20,diversified,joint,hard,0.85,0.85,20,1,1,band_381,381,1
joint_cluster_hard_corr_0p85_top_20,diversified,joint,hard,0.85,0.85,20,2,1,band_722,722,2
joint_cluster_hard_corr_0p85_top_20,diversified,joint,hard,0.85,0.85,20,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p85_top_30,diversified,joint,hard,0.85,0.85,30,1,1,band_381,381,1
joint_cluster_hard_corr_0p85_top_30,diversified,joint,hard,0.85,0.85,30,2,1,band_722,722,2
joint_cluster_hard_corr_0p85_top_30,diversified,joint,hard,0.85,0.85,30,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p90_top_10,diversified,joint,hard,0.9,0.9,10,1,1,band_381,381,1
joint_cluster_hard_corr_0p90_top_10,diversified,joint,hard,0.9,0.9,10,2,1,band_722,722,2
joint_cluster_hard_corr_0p90_top_10,diversified,joint,hard,0.9,0.9,10,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p90_top_15,diversified,joint,hard,0.9,0.9,15,1,1,band_381,381,1
joint_cluster_hard_corr_0p90_top_15,diversified,joint,hard,0.9,0.9,15,2,1,band_722,722,2
joint_cluster_hard_corr_0p90_top_15,diversified,joint,hard,0.9,0.9,15,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p90_top_20,diversified,joint,hard,0.9,0.9,20,1,1,band_381,381,1
joint_cluster_hard_corr_0p90_top_20,diversified,joint,hard,0.9,0.9,20,2,1,band_722,722,2
joint_cluster_hard_corr_0p90_top_20,diversified,joint,hard,0.9,0.9,20,3,1,band_2444,2444,3
joint_cluster_hard_corr_0p90_top_30,diversified,joint,hard,0.9,0.9,30,1,1,band_381,381,1
