band,band_350,band_351,band_352,band_353,band_354,band_355,band_356,band_357,band_358,band_359,band_360,band_361,band_362,band_363,band_364,band_365,band_366,band_367,band_368,band_369,band_370,band_371,band_372,band_373,band_374,band_375,band_376,band_377,band_378,band_379,band_380,band_381,band_382,band_383,band_384,band_385,band_386,band_387,band_388,band_389,band_390,band_391,band_392,band_393,band_394,band_395,band_396,band_397,band_398,band_399,band_400,band_401,band_402,band_403,band_404,band_405,band_406,band_407,band_408,band_409,band_410,band_411,band_412,band_413,band_414,band_415,band_416,band_418,band_420,band_421,band_422,band_423,band_424,band_425,band_426,band_427,band_428,band_429,band_430,band_431,band_432,band_434,band_436,band_437,band_438,band_439,band_440,band_441,band_443,band_444,band_445,band_446,band_447,band_448,band_451,band_452,band_453,band_454,band_455,band_456,band_457,band_458,band_459,band_460,band_461,band_462,band_465,band_466,band_467,band_470,band_471,band_473,band_476,band_477,band_478,band_479,band_480,band_481,band_482,band_483,band_485,band_486,band_487,band_489,band_490,band_491,band_492,band_493,band_494,band_495,band_496,band_497,band_498,band_717,band_718,band_719,band_720,band_721,band_722,band_723,band_724,band_725,band_726,band_727,band_728,band_729,band_730,band_2444
band_350,1.0,0.9996537525043719,0.9975942190168247,0.9945738775885653,0.9905402120112019,0.9874501384872764,0.9844219902862734,0.9835047881733926,0.9828225859219663,0.983623138900079,0.9837660417812772,0.9820692631166856,0.9805636888696213,0.9815653330548127,0.9826813367585518,0.9821711635214965,0.9818560460174359,0.9822045437192749,0.9826047870401021,0.9825202934472571,0.9826805724173918,0.9825164634975849,0.9825070523008533,0.9828376382848479,0.9824904921234312,0.981911964616757,0.9815486965167307,0.9812438731645574,0.9806412682476768,0.9799484302036715,0.9793642500880658,0.9786499995333966,0.9787947240406846,0.9791417316184896,0.9789366149291616,0.978971073549591,0.9787677996314436,0.9783484692339769,0.977785758450068,0.9772417768132922,0.9768678528663598,0.9767156150286468,0.9769196034064084,0.9769560449573116,0.9769166510467506,0.9770800410704157,0.9767503224004007,0.9760260320934571,0.9756922470305969,0.9758710375557242,0.9761274817325067,0.9763737216110082,0.9764277501248653,0.9761371061259134,0.9757425653610784,0.9754074144474922,0.9750973955697121,0.9744135944157379,0.9741655798095018,0.9744522702524161,0.9745808738668404,0.9746445673366438,0.9742926624479122,0.9735078824757889,0.9727254965115784,0.9720722659826835,0.9715188227771235,0.9704917455016457,0.9701060830572639,0.9700306035855634,0.9696892734182121,0.9693313798448018,0.9690407666910973,0.9687401886950813,0.9685646881701687,0.9682502771404252,0.9676711554921651,0.9670530460960397,0.9667334121379347,0.9666250505753612,0.9665224573102724,0.9666273901767807,0.9664214341317348,0.9661874536717233,0.9658569860313274,0.9655686503017317,0.9654253879570723,0.9651254267799411,0.9643661842814816,0.9641498355556041,0.9638943518343726,0.9636221936675303,0.9635739977599374,0.9634540161677365,0.9624389720579527,0.9619720581544503,0.9616509853302998,0.9614241697629156,0.9612068171553785,0.9610578018577389,0.9609175168572439,0.9606439673300889,0.9603347166716619,0.9600054064431017,0.9596757060687457,0.9594663736702047,0.9590492841837647,0.9588996893462745,0.9587263251628013,0.957987137401061,0.957796164562397,0.9575572786650108,0.9570344840623826,0.9568082673721169,0.9566310567701021,0.9564984074346548,0.956403801499438,0.9562628407173102,0.9561316567751067,0.9560677326718744,0.9556014585647745,0.9552950889385677,0.9550373120998839,0.9547174534061523,0.9544795087118526,0.9542535948675028,0.9539911221782881,0.9536804347783947,0.9532818085823679,0.9526940975589058,0.9519753026256816,0.9511577621550286,0.9502012207381205,0.5520988929514069,0.5710577821539421,0.588688452995321,0.6050633210800571,0.6201967277737414,0.6340485544296498,0.6465984195865164,0.6579017889446561,0.6679586398325077,0.6767794489485591,0.6844184646203092,0.6909974730067958,0.6966281681771829,0.7013767936789302,0.43825406349252655
band_351,0.9996537525043719,1.0,0.9989403876596658,0.9962984780023487,0.9924571487317844,0.989566015748703,0.9868173428927853,0.9860195042022144,0.9852213754412049,0.9855201296454462,0.9855977106851392,0.9844478610347757,0.9832881259077183,0.9842951285234092,0.9853234334439264,0.9848616100411506,0.9845979151268323,0.9848658917334024,0.9851009271926666,0.9848667112172497,0.9848939417810827,0.9846839822539374,0.9847232960601026,0.9851434773464783,0.9848389823479262,0.9842592572771263,0.9838900649639799,0.9836293801508641,0.9831260894218518,0.9824910279387696,0.9819086874783487,0.9812391184025491,0.9813855686661273,0.9816983576444775,0.9814439601221818,0.9814357025173419,0.9812574813448366,0.9809030082621601,0.9803924707604751,0.9798680919916453,0.9795081002592911,0.9793755895688755,0.9795400034740461,0.9795539845799169,0.9794958207983945,0.9796094885650606,0.9792534512771961,0.9785249911467029,0.978172839690654,0.9783244161724528,0.9785519214075069,0.9787713870287224,0.9788252728508634,0.9785683791395455,0.9781787539211401,0.9778119141238131,0.9774619392178102,0.9767699358771457,0.9764953163990495,0.9767357369288984,0.9768432376308819,0.9769124700388793,0.9766196270012307,0.9759279901032896,0.9752099625042557,0.9745841103688607,0.9740250976199814,0.9729490707785866,0.9725195530689075,0.9724292718012982,0.9721020186285378,0.9717620622719723,0.9714727147355359,0.9711561662333588,0.9709547272417703,0.9706392025186308,0.9700971452265984,0.9695178523483569,0.9691995223942786,0.9690696104390463,0.9689500701639283,0.9690045734061481,0.9687620243363562,0.9685310969580861,0.9682162055021367,0.9679334309881856,0.9677742500988596,0.9674769143459389,0.9667268403023832,0.966505815905609,0.9662458669769036,0.9659671842743625,0.9659166766955036,0.9657965235070225,0.9647784991222765,0.964316914994033,0.9639823079260466,0.963735525827916,0.9635085966426985,0.9633460936048628,0.963194773830864,0.9629341632960497,0.9626333192139083,0.9623081914815516,0.9619852590712988,0.961776266624877,0.9613112197656505,0.9611464806480291,0.9609666926694367,0.9602384367825281,0.9600469517313004,0.9598012882964196,0.9592547580829,0.9590224723904597,0.958838168969803,0.958698741175947,0.9585910244142881,0.9584445987653495,0.9583112334389617,0.9582395807355217,0.9577593952442978,0.9574490334076993,0.9571877418530476,0.9568440573122805,0.9565881550156474,0.9563512632117588,0.9560833464589779,0.9557684633214635,0.9553682639352572,0.9547813978947329,0.9540714867436334,0.9532661882649548,0.9523101048023191,0.5533595980676971,0.5724344135753997,0.5901788181328462,0.6066650487782401,0.6219074650914227,0.6358663270074512,0.6485212308519911,0.6599262812582098,0.6700808229282476,0.6789954811771896,0.6867250322250327,0.6933892024183913,0.6990990018198553,0.7039209996118986,0.43940269463830833
band_352,0.9975942190168247,0.9989403876596658,1.0,0.9988996408899956,0.9960394737554789,0.9936982556480911,0.991497609730921,0.9904878190730116,0.9891161280057404,0.988545296730208,0.9883337080321676,0.9878312773952151,0.9875081519093261,0.9885711573168317,0.9893907385213531,0.9890294666228573,0.9888701129536159,0.9891064241058241,0.9892103561264739,0.9888552880365736,0.9886905285549452,0.9884136175764211,0.9884653532994863,0.9888425309858785,0.9885006225836791,0.9878384903485772,0.9873984442422703,0.9872590682707542,0.9869937279360719,0.9865260634754113,0.9860072982745742,0.9854380198881041,0.9855521294341553,0.9857931616929372,0.9855221751263833,0.9854333429924498,0.9852517352450786,0.9849581520927361,0.9844998853751897,0.9839612822750496,0.9835804066156631,0.98344522717808,0.9835347789406038,0.9835070765423997,0.9834317274113039,0.9834755772822269,0.9831020867883982,0.9824078434857065,0.9820539279799096,0.9821647216736309,0.9823531437872423,0.9825303419083465,0.9825665026300441,0.9823346800902727,0.9819350442087603,0.9815178375703592,0.9811026906463172,0.980432574713303,0.9801346711088957,0.9802938284054318,0.9803491983037254,0.9804116745676644,0.9802073211253236,0.979658248239168,0.9790089544635223,0.9783991556336153,0.9778256030737759,0.976676925570782,0.9761961321298009,0.9761028048017641,0.975821652513755,0.9755248009466538,0.9752374226680126,0.9748783180181344,0.974620273950744,0.9743077181258173,0.9738432026739876,0.9733289834296863,0.9730042607251104,0.9728305603780416,0.9726771560724647,0.9726211134196544,0.9723007306764019,0.9720726826869799,0.9717912404551858,0.9715261924914973,0.9713379433654146,0.9710371137963245,0.9702869874860697,0.9700604754520252,0.9698130473211105,0.9695485552148556,0.9695044257550518,0.9693935832230623,0.9683499967793769,0.967876240814655,0.9675070646823107,0.9672298813368697,0.9670021857798069,0.9668250366708168,0.9666472404139629,0.9664003959994096,0.9661144890370129,0.9658008608264892,0.9654862185835386,0.9652667223727401,0.9647169700959985,0.9645278035568772,0.9643353804670534,0.9636498788588701,0.9634695480875051,0.9632074182489402,0.9625727167301006,0.9623084688154383,0.9620972934355201,0.9619446720271436,0.9618225663972765,0.9616756621983988,0.9615406318809476,0.9614511397275315,0.9609446937792132,0.9606248922658477,0.9603632299399724,0.9599961109639314,0.9597121773406008,0.9594523494874336,0.9591659326236301,0.9588364255546072,0.958432959007779,0.9578410459306534,0.9571398938896915,0.9563554248317819,0.9553997391490954,0.5563978274231364,0.5757262230005774,0.5937213674330557,0.6104548874284467,0.6259406051613414,0.6401391182872331,0.6530296422172459,0.6646629296365689,0.6750366193628387,0.6841615753701534,0.6920941629245672,0.6989492218478329,0.7048368336824296,0.7098243933398128,0.4425339308708192
band_353,0.9945738775885653,0.9962984780023487,0.9988996408899956,1.0,0.998936020050993,0.9972849268949214,0.995381887060803,0.9934706196967176,0.991035494327108,0.9900003844897378,0.989565568032054,0.9890435662590218,0.9891280542868163,0.9903548215423023,0.9912209867918215,0.9909697989942544,0.9909771913228237,0.9912846182393167,0.9914281026488141,0.9912018964741404,0.9909966235611627,0.9907158778115299,0.9907175829744345,0.9908740786370573,0.9904872159978393,0.9898648285386191,0.9894552916932928,0.9894234691705188,0.9893222863597924,0.9889873936459472,0.9885457759340217,0.9880200809505085,0.9880134604501506,0.9881494738814053,0.9879429637630581,0.9878495998708856,0.9876361824666683,0.9873095225304545,0.9868547585805953,0.9862650703232682,0.9858304345884367,0.9856553742488535,0.9856842765015941,0.9856542705602706,0.9856377902172313,0.9857138496444071,0.9854082530258259,0.9848108350584739,0.9844845198533314,0.9845383397601031,0.984699400357065,0.9848610093905825,0.9848806264498692,0.9846506308413205,0.9842478395894831,0.9838318361746606,0.9834199835349045,0.9828240447068275,0.9825297634996373,0.9826097482551771,0.9826001487366144,0.9826349433723516,0.9824527023153848,0.9819547100090671,0.9813150694652677,0.9807098501279569,0.9801466032123678,0.9790136915262921,0.9785549498994566,0.9784769928830144,0.9782390003199247,0.9779723431625676,0.9776828265331199,0.9772748572397059,0.9769494123004863,0.9766127614539537,0.9761815608612991,0.9756876436134573,0.9753510543472501,0.9751626777862373,0.9750193807038229,0.9749007963637386,0.9745601829957007,0.9743417451412003,0.9740770924412188,0.9738140657427833,0.9736082489647524,0.9733038550830235,0.9725498625414686,0.9723316221412373,0.9721122937760946,0.9718759211714665,0.9718380524839847,0.9717317113667906,0.9706642230102374,0.970176207149654,0.9697911032536634,0.9695146811670137,0.9692999520375315,0.9691206814376756,0.9689244870696228,0.9686728359444182,0.9683877712617442,0.9680775270996783,0.9677611062317051,0.9675266660371916,0.9669413265761179,0.9667498642981617,0.966559478221654,0.9658960594872864,0.965726048232749,0.9654437197156305,0.9647306680825417,0.9644454222653084,0.9642145879066072,0.9640505309816068,0.9639295321721533,0.9637942646022655,0.9636624799967118,0.9635574694733916,0.9630439986133289,0.9627259430758155,0.9624770467815401,0.9621290114359792,0.9618408914737399,0.9615718894721178,0.9612687526199746,0.9609229182244358,0.9605172029346173,0.9599259398093157,0.9592370208737638,0.9584785825216865,0.9575474747431385,0.5565264675015239,0.5761204008877532,0.594382136006284,0.6113824903706088,0.6271358050461515,0.641602173942543,0.6547587335189857,0.6666532704186344,0.6772824268038645,0.6866564745922583,0.694831822159826,0.7019187045571513,0.708026038876299,0.713222332440005,0.44662408163813
band_354,0.9905402120112019,0.9924571487317844,0.9960394737554789,0.998936020050993,1.0,0.9993865777055783,0.99780731494978,0.9952002922460153,0.992286772443755,0.9910075196727637,0.9901727451446988,0.9892844804171599,0.9894495990585259,0.990802376413435,0.991809932286523,0.9917403797133745,0.9920092421655946,0.9924061494017276,0.9925793291246545,0.992494104055514,0.9922552834087046,0.9920065446181957,0.9919991064472037,0.9919528627994392,0.9915564173275243,0.9910476344291661,0.9907514443697781,0.9908167387573495,0.9908746000822789,0.9907135455750535,0.9904186545421438,0.9899818897139848,0.989854094266215,0.989856925192983,0.9897007113897739,0.9895791773683729,0.9893060151518065,0.9889546105565404,0.9885604375085038,0.9879848943694124,0.9875102875422105,0.9872610204420793,0.9872106292408376,0.9871856987215943,0.9872386659622089,0.9873517374993235,0.9871089741496141,0.9866193346346257,0.98633280070762,0.9863106409898624,0.9864107379132387,0.9865170272691389,0.9865158878916774,0.9863331584740198,0.9859576635279519,0.9855554656190251,0.9851652407594085,0.9846602110428955,0.984375127390472,0.9843602903028402,0.9842515542602907,0.9841717034596025,0.9839685801909647,0.9835354540417184,0.9829109397128609,0.9823425963147732,0.981853176409406,0.9808865326611439,0.980489587245025,0.9803835663544329,0.9801783114488596,0.9799337637447011,0.9796271263939492,0.9791882398867218,0.9788098312419099,0.9784577415292135,0.9780676800004955,0.9776136807045505,0.9772839637689603,0.9770940005131681,0.9769754482680482,0.9768180773263746,0.9764823378542763,0.9762853428469083,0.9760428228492616,0.9757774393312394,0.9755574650726034,0.9752510342167634,0.9745139471769948,0.9743035520771419,0.974100722683172,0.9738803158920878,0.9738360162785676,0.9737287647778698,0.9726607847835989,0.9721805925547962,0.9717986238100127,0.9715220885832194,0.9713170461985022,0.9711388606795774,0.9709349291073424,0.9706861951739405,0.9704089194339682,0.9701090334546271,0.9697996420690551,0.9695550828055215,0.9689419519975648,0.9687502846707009,0.9685559364121084,0.9679139270533327,0.9677551115788661,0.9674536272763192,0.9666903018782754,0.9663923018883833,0.9661453605354883,0.9659684701397525,0.9658466385158968,0.9657192305307001,0.9655844401677072,0.9654580688836382,0.9649397583903819,0.9646220730264276,0.9643760813078321,0.9640111621790162,0.9637096803039293,0.9634216527129872,0.9630851939688617,0.9627001987445509,0.962268737120278,0.9616599087132378,0.9609611935835752,0.9601977038527164,0.9592601859474643,0.5588800992506215,0.5786064092260544,0.5969991375272813,0.6141294366808732,0.6300121656147052,0.6446071106878987,0.6578897832206635,0.6699064010531293,0.6806537261463037,0.6901413127569332,0.6984249699349697,0.7056116286876618,0.7118086392790343,0.7170862993068602,0.45340428344360234
band_355,0.9874501384872764,0.989566015748703,0.9936982556480911,0.9972849268949214,0.9993865777055783,1.0,0.9992574596735363,0.9971606879306154,0.9944886424401594,0.9931515542384601,0.9920295732135889,0.9908912942631211,0.9909479248638752,0.9921140810322409,0.9930780982902672,0.9931929106350136,0.9935190468750613,0.9937627706263402,0.9937605707194194,0.9936543893104471,0.993385399297369,0.9932831091983875,0.9934707006252365,0.9934762700530744,0.9931355774063163,0.9927177280433106,0.9925071258503643,0.9926089905764119,0.9927038949720838,0.9926134291300883,0.9924236675887609,0.992118102784664,0.9919885443811653,0.991920491902817,0.9917520380008824,0.991594034335721,0.9913067634637606,0.9909589534731946,0.9905967330913864,0.9900916406363566,0.9896690949629985,0.9894117093679244,0.9893244335555355,0.9892732594202108,0.989313042021876,0.9893988655869417,0.9891753669302958,0.9887658014485722,0.9885134595417879,0.988447534053014,0.98850082862975,0.9885340663651158,0.9884620847401976,0.9882574788745234,0.9878958262978738,0.9875154619798131,0.9871575997039634,0.9867680557210818,0.9865512139486007,0.9865037325105126,0.9863332461532556,0.9861472195845958,0.9859038936890431,0.9855191582462521,0.9849446556953193,0.9844232942954801,0.9840021797046214,0.9832088277742457,0.9828354764204768,0.982705265239158,0.9825171050709857,0.9822831060234849,0.9819672578441778,0.9815301504291027,0.9811533970173381,0.9808070985568115,0.980437871814803,0.980035374913086,0.9797386955930689,0.979552495310696,0.9794223660928477,0.9792042365667566,0.9788571828612005,0.9786677743278986,0.9784495246688655,0.9782111564562507,0.9779896766166424,0.9776855260367238,0.9769817947993943,0.9767664526326559,0.9765577370375221,0.9763389506819019,0.976290614569703,0.9761852156934053,0.9751176483542621,0.9746631518472051,0.9742922342702168,0.9740015392248059,0.9737972634355616,0.9736177983629405,0.9734098915693897,0.9731725386217119,0.9729058084908487,0.9726167212152412,0.9723217739555272,0.9720849039694359,0.9714505051013018,0.9712508434466081,0.9710461750565086,0.970430278129475,0.9702799078193634,0.969965333923926,0.9691815603681084,0.9688735293118058,0.968609870377341,0.968419210529787,0.9682875668518239,0.9681578475294085,0.9680205391186434,0.9678879536476739,0.9673759257093547,0.9670561962617634,0.966797809821401,0.9663833208636432,0.9660602267491627,0.9657434869995388,0.9653744708541657,0.9649573677041489,0.9645005750062545,0.9638651916941895,0.9631403524058645,0.9623531460816592,0.9613901138376365,0.5624828567858612,0.5822398264484181,0.6006577547928738,0.6178092820465342,0.633709841617166,0.6483197846559192,0.6616145286716899,0.6736396808554729,0.684392387944256,0.6938819188863564,0.7021635089046945,0.7093427145831691,0.715525882235245,0.7207848710316943,0.45889676565595866
band_356,0.9844219902862734,0.9868173428927853,0.991497609730921,0.995381887060803,0.99780731494978,0.9992574596735363,1.0,0.9990174347233955,0.9967300337462296,0.9953379376004273,0.994038862464826,0.9927536477229864,0.9925496444297025,0.9932268772499331,0.9938707991904498,0.9941109071378229,0.9947026039818799,0.9949079741890328,0.9947566533772003,0.9947275009792066,0.9945047873906792,0.9945459111482614,0.9948266900272545,0.994783137375411,0.9943673018078133,0.9939301991057418,0.9937436147498653,0.9938762573805904,0.9940185014540273,0.9939740640402286,0.993862204980719,0.9937718448778043,0.9936874025655584,0.9935185761162808,0.9932911996239189,0.9930977249247287,0.9928571927406432,0.9925714519700282,0.9922581354542099,0.99185983813398,0.991544382114871,0.9913351802380127,0.991217369635653,0.9911305714699427,0.9911277019003191,0.9911306142456042,0.9908733241274168,0.9904846675873005,0.9902405285378577,0.990200848065273,0.9902976500271704,0.9903464324628987,0.9902746094058238,0.9900917144772735,0.9897725419124815,0.9894191324221455,0.9890649106695044,0.9887316885947085,0.9885549723831772,0.9885026846645784,0.9883442107827785,0.9881479852337218,0.9879266790289,0.9876087507293507,0.9870972041429337,0.9866109157101299,0.9861968792378936,0.9854475920217868,0.9851039964341882,0.9850055000250733,0.984854410669245,0.9846299463092482,0.9843046749280568,0.9838743939955983,0.9834931148011888,0.9831600933383761,0.9828416779814279,0.9825065647878426,0.9822585034415734,0.9820906743732806,0.9819371664055622,0.9816400372065635,0.981277055337795,0.9811056122405742,0.9809322149544154,0.9807406182089121,0.9805310231176171,0.9802461728354082,0.979584889874567,0.9793691555457675,0.9791596018880657,0.978938602199934,0.9788715253629741,0.978753690412795,0.9777433096604046,0.9773248980833574,0.9769661316264027,0.9766681471070074,0.9764642737340764,0.9762705844618713,0.9760387961030295,0.9757994674225542,0.9755471306590636,0.975274980640045,0.9749919142239002,0.9747629127750392,0.9741275804637912,0.9739229705622995,0.9737118899097932,0.9731518414422626,0.9730161414631266,0.9727061407514095,0.9718987812121666,0.9715804918960528,0.9713035430503746,0.9711035144628561,0.970964132119747,0.9708305090046089,0.9706857343593361,0.9705373541751047,0.9700268339412972,0.9697063856885565,0.9694363320913747,0.968969533536734,0.9686197977916509,0.9682578891291657,0.9678415229650749,0.9673819619044859,0.9668864601946302,0.9662091955323526,0.9654388710686453,0.9646056939209507,0.9635961673373321,0.56987527091752,0.589598500508096,0.6079738745465505,0.6250749558285403,0.6409171972147,0.655463238861721,0.6686908084828183,0.6806420324577941,0.6913147171835666,0.7007193232326164,0.7089111270059544,0.7159932283947461,0.7220710585163053,0.7272191342731912,0.46472507381773287
band_357,0.9835047881733926,0.9860195042022144,0.9904878190730116,0.9934706196967176,0.9952002922460153,0.9971606879306154,0.9990174347233955,1.0,0.999116608935298,0.9979909184531761,0.9966374039047748,0.9952992194731112,0.994721450057008,0.9948358587265025,0.9949358767413817,0.9948978214951077,0.9954434434729869,0.9956346870854785,0.9953627121333458,0.9951457793317415,0.9949486530725401,0.9952027824315609,0.9957598338404089,0.9960137409636272,0.9956839256260002,0.9952605985462485,0.9950911937775083,0.995170943519123,0.9951443741167898,0.9949325988046008,0.9947587417026279,0.9947794840993149,0.9948132815832836,0.994644830372329,0.9943335288917763,0.9941338902885659,0.9939825598414717,0.993775411663615,0.9934681922524893,0.993174175340136,0.9929563722844507,0.992768596785121,0.9926588768172384,0.9925705972206825,0.9925228291784446,0.9924579034453085,0.9921675347182626,0.991768369523798,0.9915180108865369,0.9915050413087266,0.9915810940892062,0.9915586160352193,0.9914087213624736,0.9911725308487774,0.9908403751137594,0.9904788233026111,0.9901369899457517,0.9898635870418827,0.9897834468215931,0.9897971050381779,0.9896527978911546,0.9894225997901629,0.9891651843793595,0.9888627557010029,0.9884387000798905,0.9879890137148347,0.9875987071059926,0.9869593640649064,0.986553299442996,0.9864154099386007,0.9862273282829308,0.9859764234264287,0.9856417943037213,0.9852187103961334,0.9848902810124712,0.9846104170188553,0.9843187832521545,0.9840397246439785,0.9838348779143868,0.9836751384681877,0.9834874634538849,0.9831251451699008,0.9827333705410494,0.9825531721714081,0.9823978821906524,0.9822495212058806,0.982055325640014,0.9817980414449958,0.9812161729464488,0.9809934156606501,0.9807540468584811,0.9805005245926267,0.9804070035611554,0.9802651859281645,0.9792321946797862,0.9788452044363478,0.9784950996391077,0.9781718220452151,0.9779577166511558,0.9777591310359156,0.9775254786857003,0.9772955314336421,0.9770496474818561,0.976784099666022,0.9765150429417965,0.9763021228524458,0.9756599739334705,0.9754398847237382,0.9752109715923155,0.9746621825938513,0.9745252025466703,0.9742045668092181,0.9734045630279312,0.9730774920036878,0.9727925523037052,0.9725912835758771,0.9724394168897447,0.9722898732022519,0.9721375995456549,0.9719943275555243,0.9714739253107985,0.9711293599046179,0.9708124076563036,0.9702588740970052,0.9698706070644555,0.9694714823740983,0.9690288782503282,0.9685479150571195,0.9680219062874704,0.9673031573337648,0.966480886436281,0.9655907961972985,0.9645259006014562,0.5768206622157417,0.5965121199300271,0.6148479273166632,0.6319020655379122,0.6476901624060232,0.6621762467104507,0.6753394666688697,0.6872211402406451,0.6978193207112108,0.7071452719189845,0.7152538924059215,0.7222481466397231,0.7282328778219376,0.7332833194495836,0.46751682480717327
band_358,0.9828225859219663,0.9852213754412049,0.9891161280057404,0.991035494327108,0.992286772443755,0.9944886424401594,0.9967300337462296,0.999116608935298,1.0,0.9994632405887633,0.9981324497479974,0.9967383668148045,0.9959754600538887,0.9957108101265533,0.9953346998765646,0.9949200403500175,0.9952314475023105,0.9955061923962785,0.9953263559210194,0.9949301767135517,0.9947460212962334,0.9951112996983676,0.9958066945879912,0.9962538999470167,0.9959996540405508,0.9955595333496245,0.9953585584192061,0.9953826981255662,0.995232599991317,0.9949423272590049,0.994781480658737,0.9948580201635623,0.9949777894943882,0.9948611593675162,0.9945443994471793,0.9943263883462317,0.9942101142298992,0.9940709632155214,0.9937848467058591,0.9935650222936367,0.9933768021566802,0.9931474747731943,0.9930341636919194,0.992959441846138,0.9928812675942366,0.9927555040411166,0.9924332433814471,0.9920118140051557,0.9917689265121018,0.9917926012344639,0.9918177052004821,0.9916951356206801,0.9914691816061136,0.9911999891165653,0.9908514256491895,0.990466966688182,0.9901202917549061,0.9898529988331574,0.9898362369000776,0.9899094300078185,0.989732478749769,0.9894099374938657,0.9890880010463424,0.9887869391239177,0.9884122794164817,0.987984003719175,0.9876379846511534,0.9871634294746258,0.9867433361444784,0.9865339522411257,0.9862899912072459,0.9860064203828903,0.985659333142751,0.9852559247697205,0.9849972784821381,0.9847913095605457,0.98454067713962,0.9843190918036165,0.984137180824146,0.9839607092318173,0.9837435856830419,0.9833725161875124,0.982974964048242,0.9827831107792011,0.9826294619810994,0.9824947741149386,0.9823020195151878,0.9820583654134128,0.9815485437263026,0.9813261632873767,0.9810653950483886,0.9807834783283919,0.9806599060077763,0.9804959253491986,0.979418223291385,0.9790430939616617,0.978697294455502,0.978355382749276,0.9781400218153662,0.9779507845633725,0.9777302944514008,0.9775177604207804,0.9772793200579958,0.9770199110887794,0.9767641194068546,0.9765574944838704,0.9759087351232975,0.9756738160843231,0.9754225266698787,0.9748756154248721,0.9747378958882336,0.9744041720458718,0.973608724890112,0.9732673815669772,0.9729761634232623,0.9727803085263591,0.9726201152859527,0.9724560117518286,0.9722937811389791,0.9721511445167124,0.9716047048044891,0.9712296774801776,0.9708638570748223,0.9702241089573763,0.9698004520298605,0.9693788998812974,0.9689175568176016,0.9684123941985014,0.9678523040504002,0.9670914155258137,0.966215901429342,0.9652615446070002,0.9641268199447358,0.5841520338190567,0.6037492111015436,0.6219851777157032,0.6389341821092802,0.6546110639923167,0.6689801108963732,0.6820213480754062,0.6937771246035392,0.7042462158328688,0.7134406341669469,0.7214151260898646,0.728273419658812,0.7341205186221963,0.7390316101032075,0.47010317056079126
band_359,0.983623138900079,0.9855201296454462,0.988545296730208,0.9900003844897378,0.9910075196727637,0.9931515542384601,0.9953379376004273,0.9979909184531761,0.9994632405887633,1.0,0.9994145349451182,0.997995751204566,0.9968270717721104,0.9961999358994689,0.9955863104948987,0.9949260991388198,0.9949934308432735,0.9951242115796265,0.9949734685800465,0.994769291447619,0.9947815366110025,0.9951935687902015,0.9958135820603587,0.9962222084086059,0.9960801685344233,0.9957709212418693,0.9955913271113527,0.9955284012669029,0.9952431122581966,0.9948856158681719,0.994721513156035,0.9947318614942274,0.9948245171633107,0.9947471897197157,0.994513778410784,0.9943505984865185,0.9942572262337059,0.994119938167934,0.99384087736811,0.9936567908547349,0.9934923742465767,0.9932444225394744,0.9931468443991575,0.9930994408005446,0.9930409639810603,0.9929491361389398,0.9927122243097618,0.9923552120133317,0.9921383675176525,0.9921706283663321,0.992197555483396,0.9920464531060864,0.991750322269528,0.9914156661778729,0.9910576965371245,0.9907112033067689,0.9904182214199425,0.9901632155190188,0.9901926138974231,0.9903205009155501,0.990157594991281,0.9898314604059167,0.9894387135909567,0.9890473481973827,0.9886560642578178,0.9882331754743936,0.9879075493514343,0.9875570553462039,0.9872496896289298,0.9870592487469787,0.9867717591568134,0.9864548461847433,0.9861244699650996,0.985749893220584,0.9855365769646124,0.9853459352947548,0.985073206052701,0.9848529263848819,0.9846674773514184,0.9844773054030342,0.9842558122247584,0.9839364649485478,0.9835998325382461,0.9834086400546929,0.9832445963523296,0.983116364952189,0.9829307015674243,0.9826989305805442,0.9822440573642404,0.9820369867158434,0.9817799674971679,0.9814947562550801,0.9813514462065371,0.9811639007471578,0.9800768069974217,0.9797102376948428,0.9793808472325171,0.9790590222935235,0.9788544295729931,0.9786818233401584,0.9784792755745148,0.9782665794989996,0.9780242514838611,0.9777653462221514,0.9775141521138588,0.977316855858587,0.9767372655451928,0.9765194582449912,0.9762789248365497,0.9757108732261199,0.9755662226579501,0.9752205123761412,0.9744578226727412,0.9741265012106622,0.9738452462138487,0.9736557630703466,0.9735000858719699,0.9733342388884029,0.9731696014095828,0.9730308098294405,0.9724910896913018,0.9721088404886139,0.9717265872838836,0.9710707504467122,0.9706483758325511,0.970231417973521,0.9697690039310181,0.9692533294766108,0.9686725063654995,0.9678898623841955,0.966982037144775,0.9659880188614617,0.9648233666339666,0.5872021808928738,0.6066683605713311,0.6247718464080363,0.6415864940848741,0.6571277161689473,0.6713600988527211,0.6842638418040492,0.6958817773099014,0.7062144654306622,0.7152747111295696,0.7231164222145847,0.7298435233363013,0.7355612856820968,0.7403457505535868,0.47299154783973524
