subset,band,wavelength_nm
joint_top_20,band_381,381
joint_top_20,band_383,383
joint_top_20,band_384,384
joint_top_20,band_380,380
joint_top_20,band_382,382
joint_top_20,band_377,377
joint_top_20,band_376,376
joint_top_20,band_379,379
joint_top_20,band_391,391
joint_top_20,band_385,385
joint_top_20,band_378,378
joint_top_20,band_375,375
joint_top_20,band_361,361
joint_top_20,band_386,386
joint_top_20,band_387,387
joint_top_20,band_392,392
joint_top_20,band_389,389
joint_top_20,band_390,390
joint_top_20,band_374,374
joint_top_20,band_388,388
